rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,touch,0.236,1d,1,0.143712,0.000142,99,-0.13,0.0,0.0,3,0.01,50,2.896414,6.831061,2640.024,0.779373
2,LOW SAMPLE,continuation_candidate,5,touch,0.786,1d,1,0.104468,0.000811,100,-0.066567,0.0,0.0,1,0.0,50,2.913069,8.351443,4437.224,0.068307
3,LOW SAMPLE,continuation_candidate,5,touch,0.5,1d,2,0.092255,0.003795,44,-0.025773,0.0,0.5,19,0.135,35.5,4.867752,5.293233,2790.5,0.430563
4,LOW SAMPLE,continuation_candidate,5,cross,0.382,1d,2,0.079425,0.025261,98.5,0.0273,0.0,0.5,1,0.0,30.5,1.516138,252.400656,2214.488,0.134329
5,LOW SAMPLE,continuation_candidate,5,touch,1,1d,1,0.072265,0.006557,100,-0.04009,0.0,0.0,3,0.01,50,1.352743,17.041494,4500.0,0.115067
6,LOW SAMPLE,continuation_candidate,5,above,0.618,1d,1,0.062798,0.021994,93,-0.033697,0.0,1.0,10,0.07,50,2.253909,10.270956,5685.512,0.14707
7,LOW SAMPLE,continuation_candidate,5,above,1,1d,1,0.049605,0.016902,24,-0.044369,0.0,1.0,11,0.13,5,7.920636,3.224626,2830.0,0.830373
8,LOW SAMPLE,continuation_candidate,5,cross,1,1d,2,0.037347,0.026494,49,0.002859,0.0,0.5,12,0.105,29.5,8.129862,3.008687,2860.0,0.143383
9,LOW SAMPLE,continuation_candidate,5,cross,0.5,1d,2,0.026749,0.024164,100,-0.007669,0.0,0.0,1.5,0.0,32,1.383984,48.131799,3081.5,0.831064
10,LOW SAMPLE,continuation_candidate,5,cross,0.786,1d,1,0.022945,0.02401,100,0.008229,0.0,0.0,1,0.0,50,3.588879,6.783789,4627.224,1.325461
1,LOW SAMPLE,continuation_candidate,10,touch,0.236,1d,1,0.286486,0.000142,99,-0.166898,0.0,0.0,3,0.01,50,2.896414,6.831061,2640.024,0.779373
