review_id,symbol,timeframe,exchange,fib_level,fib_price,event_bar,event_time,auto_candidate,touch_type,approach_side,note,evidence_forward_bars,evidence_closes_beyond,evidence_closes_back,evidence_max_penetration_atr,swing_start_time,swing_end_time,swing_direction,swing_start_bar,swing_end_bar,chart_path,human_label,human_confidence,human_note
fib_BTC-USD_1d_20260420T000000_L0p786_b993_continuation,BTC/USD,1d,bitfinex,0.786,74948.71,993,2026-05-27T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,5,6,0,1.755,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L0p786_b993_continuation.png,,,
fib_BTC-USD_1d_20260429T000000_L1_b993_continuation,BTC/USD,1d,bitfinex,1,74958.0,993,2026-05-27T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,5,6,0,1.7596,2026-04-29T00:00:00+00:00,2026-05-06T00:00:00+00:00,up,965,972,charts/fib_BTC-USD_1d_20260429T000000_L1_b993_continuation.png,,,
fib_BTC-USD_1d_20260413T000000_L0p618_b994_continuation,BTC/USD,1d,bitfinex,0.618,73506.982,994,2026-05-28T00:00:00+00:00,continuation_candidate,wick_below,above,Broke through level and continued,5,2,2,2.1568,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p618_b994_continuation.png,,,
fib_BTC-USD_1d_20260407T000000_L1_b994_continuation,BTC/USD,1d,bitfinex,1,72789.0,994,2026-05-28T00:00:00+00:00,continuation_candidate,wick_below,above,Broke through level and continued,5,2,4,1.8022,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L1_b994_continuation.png,,,
fib_BTC-USD_1d_20260420T000000_L1_b994_continuation,BTC/USD,1d,bitfinex,1,73715.0,994,2026-05-28T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,5,3,1,2.2595,2026-04-20T00:00:00+00:00,2026-04-22T00:00:00+00:00,up,956,958,charts/fib_BTC-USD_1d_20260420T000000_L1_b994_continuation.png,,,
fib_BTC-USD_1d_20260526T000000_L0p236_b996_rejection,BTC/USD,1d,bitfinex,0.236,73818.512,996,2026-05-30T00:00:00+00:00,rejection_candidate,wick_below,below,Touched level and rejected back to the approach side,3,0,2,0.0533,2026-05-26T00:00:00+00:00,2026-05-29T00:00:00+00:00,down,992,995,charts/fib_BTC-USD_1d_20260526T000000_L0p236_b996_rejection.png,,,
fib_BTC-USD_1d_20260407T000000_L0p618_b998_reaction,BTC/USD,1d,bitfinex,0.618,70847.294,998,2026-06-01T00:00:00+00:00,reaction_candidate,close_above,above,Reacted at level without a clear breakout or rejection,1,1,1,0.8621,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p618_b998_reaction.png,,,
fib_BTC-USD_1d_20260407T000000_L0p786_b998_continuation,BTC/USD,1d,bitfinex,0.786,71701.238,998,2026-06-01T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,1,2,0,1.2933,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p786_b998_continuation.png,,,
fib_BTC-USD_1d_20260413T000000_L0p786_b998_continuation,BTC/USD,1d,bitfinex,0.786,72196.414,998,2026-06-01T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,1,2,0,1.5433,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L0p786_b998_continuation.png,,,
fib_BTC-USD_1d_20260413T000000_L1_b998_reaction,BTC/USD,1d,bitfinex,1,70527.0,998,2026-06-01T00:00:00+00:00,reaction_candidate,close_above,above,Reacted at level without a clear breakout or rejection,1,1,1,0.7004,2026-04-13T00:00:00+00:00,2026-04-17T00:00:00+00:00,up,949,953,charts/fib_BTC-USD_1d_20260413T000000_L1_b998_reaction.png,,,
fib_BTC-USD_1d_20260407T000000_L0p236_b999_reaction,BTC/USD,1d,bitfinex,0.236,68905.588,999,2026-06-02T00:00:00+00:00,reaction_candidate,close_above,above,Reacted at level without a clear breakout or rejection,0,0,1,0.0,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p236_b999_reaction.png,,,
fib_BTC-USD_1d_20260407T000000_L0p382_b999_continuation,BTC/USD,1d,bitfinex,0.382,69647.706,999,2026-06-02T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,0,1,0,0.2534,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p382_b999_continuation.png,,,
fib_BTC-USD_1d_20260407T000000_L0p5_b999_continuation,BTC/USD,1d,bitfinex,0.5,70247.5,999,2026-06-02T00:00:00+00:00,continuation_candidate,wick_above,above,Broke through level and continued,0,1,0,0.5527,2026-04-07T00:00:00+00:00,2026-04-07T00:00:00+00:00,down,943,943,charts/fib_BTC-USD_1d_20260407T000000_L0p5_b999_continuation.png,,,
