rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,above,0.236,4h,1,0.097176,-1.2e-05,27,-0.071037,0.0,0.0,9,0.02,16,1.070379,25.513827,820.024,0.382915
2,LOW SAMPLE,continuation_candidate,5,cross,0.236,4h,1,0.068912,0.010623,100,-0.031069,0.0,0.0,1,0.0,50,4.630593,3.683724,1290.976,0.558823
3,LOW SAMPLE,continuation_candidate,5,touch,0.382,4h,2,0.049443,0.007696,57,-0.012976,0.0,1.0,17.5,0.135,31.5,6.641695,3.949018,2203.5,0.312023
4,LOW SAMPLE,continuation_candidate,5,below,0.786,4h,1,0.049266,0.001108,99,0.032146,0.0,1.0,2,0.01,50,4.897414,4.867755,776.776,0.271337
5,ok,continuation_candidate,5,cross,0.5,4h,6,0.045876,0.00203,72.166667,-0.016014,0.0,0.0,15.166667,0.115,26,3.764261,66.760663,1677.5,0.216102
6,LOW SAMPLE,continuation_candidate,5,cross,0.786,4h,1,0.040759,0.017465,99,-0.020289,0.0,1.0,2,0.02,50,0.452832,47.356164,2047.224,0.458276
7,LOW SAMPLE,continuation_candidate,5,touch,0.5,4h,1,0.032161,0.003164,100,-0.020221,0.0,0.0,5,0.02,50,0.140994,186.492063,869.0,0.232751
8,LOW SAMPLE,continuation_candidate,5,cross,0.382,4h,3,0.030253,0.007696,70,-0.004923,0.0,0.0,5,0.01,36.666667,2.085754,49.622253,2634.837333,0.715044
9,LOW SAMPLE,continuation_candidate,5,touch,1,4h,2,0.026929,0.007706,52.5,-0.00859,0.0,1.0,9.5,0.045,5.5,0.630929,43.428907,1155.0,0.854857
10,LOW SAMPLE,continuation_candidate,5,touch,0.236,4h,1,0.026418,0.009541,100,0.01946,0.0,0.0,2,0.01,8,1.209779,20.316667,1378.976,0.029171
11,LOW SAMPLE,continuation_candidate,5,touch,0.618,4h,1,0.026164,0.002913,89,0.014309,0.0,1.0,24,0.17,50,8.300831,2.26639,1313.488,0.743534
12,LOW SAMPLE,continuation_candidate,5,below,1,4h,1,0.022603,0.001797,95,0.012294,0.0,1.0,6,0.05,44,1.215986,19.242353,1070.0,0.436324
13,LOW SAMPLE,continuation_candidate,5,cross,0.618,4h,2,0.02247,0.004636,64.5,0.006935,0.0,0.0,1,0.005,40,3.157015,39.498362,1752.512,0.856375
14,LOW SAMPLE,continuation_candidate,5,below,0.5,4h,1,0.021918,0.004988,63,0.011009,0.0,0.0,27,0.21,37,3.03625,7.822294,3355.0,0.309157
15,ok,continuation_candidate,5,cross,1,4h,5,0.019185,0.00887,63.6,-0.00029,0.0,0.4,8.6,0.036,34.2,1.744227,29.785076,974.0,0.470242
1,LOW SAMPLE,continuation_candidate,10,above,0.236,4h,1,0.097176,-1.2e-05,27,-0.035555,0.0,0.0,9,0.02,16,1.070379,25.513827,820.024,0.382915
2,LOW SAMPLE,continuation_candidate,10,cross,0.236,4h,1,0.077125,0.010623,100,-0.056654,0.0,0.0,1,0.0,50,4.630593,3.683724,1290.976,0.558823
3,LOW SAMPLE,continuation_candidate,10,touch,0.382,4h,2,0.055602,0.010295,57,-0.001657,0.0,1.0,17.5,0.135,31.5,6.641695,3.949018,2203.5,0.312023
4,ok,continuation_candidate,10,cross,0.5,4h,6,0.05224,0.003436,72.166667,0.002237,0.1667,0.1667,15.166667,0.115,26,3.764261,66.760663,1677.5,0.216102
5,LOW SAMPLE,continuation_candidate,10,below,0.786,4h,1,0.050776,0.001108,99,0.036677,0.0,1.0,2,0.01,50,4.897414,4.867755,776.776,0.271337
6,LOW SAMPLE,continuation_candidate,10,touch,0.236,4h,1,0.048316,0.009541,100,0.040578,0.0,0.0,2,0.01,8,1.209779,20.316667,1378.976,0.029171
7,LOW SAMPLE,continuation_candidate,10,cross,0.786,4h,1,0.044068,0.017465,99,-0.029892,0.0,1.0,2,0.02,50,0.452832,47.356164,2047.224,0.458276
8,LOW SAMPLE,continuation_candidate,10,cross,0.382,4h,3,0.041808,0.028061,70,0.032549,0.3333,0.3333,5,0.01,36.666667,2.085754,49.622253,2634.837333,0.715044
9,LOW SAMPLE,continuation_candidate,10,touch,1,4h,2,0.038946,0.007706,52.5,-0.003456,0.0,1.0,9.5,0.045,5.5,0.630929,43.428907,1155.0,0.854857
10,LOW SAMPLE,continuation_candidate,10,touch,0.5,4h,1,0.037508,0.003164,100,-0.009294,0.0,0.0,5,0.02,50,0.140994,186.492063,869.0,0.232751
11,ok,continuation_candidate,10,cross,1,4h,5,0.035229,0.014663,63.6,-0.010767,0.2,0.6,8.6,0.036,34.2,1.744227,29.785076,974.0,0.470242
12,LOW SAMPLE,continuation_candidate,10,cross,0.618,4h,2,0.033941,0.004636,64.5,-0.00837,0.0,0.0,1,0.005,40,3.157015,39.498362,1752.512,0.856375
13,LOW SAMPLE,continuation_candidate,10,touch,0.618,4h,1,0.026164,0.002913,89,0.011288,0.0,1.0,24,0.17,50,8.300831,2.26639,1313.488,0.743534
14,LOW SAMPLE,continuation_candidate,10,below,1,4h,1,0.023737,0.001797,95,0.015037,0.0,1.0,6,0.05,44,1.215986,19.242353,1070.0,0.436324
15,LOW SAMPLE,continuation_candidate,10,below,0.5,4h,1,0.022029,0.004988,63,0.016908,0.0,0.0,27,0.21,37,3.03625,7.822294,3355.0,0.309157
1,LOW SAMPLE,continuation_candidate,20,cross,0.236,4h,1,0.101751,0.010623,100,-0.067154,0.0,0.0,1,0.0,50,4.630593,3.683724,1290.976,0.558823
