rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,touch,0.786,4h,4,0.091692,0.013133,28.5,-0.028444,0.0,0.5,14.75,0.215,17,2.274901,9.294621,125.93115,0.378478
2,LOW SAMPLE,continuation_candidate,5,touch,1,4h,2,0.076697,0.010977,29,-0.060949,0.0,0.5,15,0.21,19.5,2.389598,3.281729,167.85,0.608291
3,ok,continuation_candidate,5,cross,1,4h,10,0.049857,0.020163,35.5,-0.013047,0.0,0.1,7.6,0.122,15.4,2.600542,6.134541,63.49,0.713363
4,LOW SAMPLE,continuation_candidate,5,below,0.786,4h,1,0.042301,0.003142,45,0.033922,0.0,0.0,6,0.08,7,3.328036,2.642612,18.1094,0.383662
5,LOW SAMPLE,continuation_candidate,5,cross,0.382,4h,2,0.040988,0.018286,28.5,0.010286,0.0,0.5,4.5,0.05,12.5,3.235839,2.456482,33.0,0.170581
6,LOW SAMPLE,continuation_candidate,5,above,1,4h,3,0.036959,0.005862,27.666667,-0.02282,0.0,1.0,11,0.113333,14.666667,1.016601,9.837727,23.233333,0.443244
7,ok,continuation_candidate,5,cross,0.786,4h,8,0.036698,0.020159,35,-0.008271,0.0,0.25,10.125,0.145,15.25,1.743529,19.275519,51.50235,0.581844
8,LOW SAMPLE,continuation_candidate,5,cross,0.5,4h,2,0.036505,0.009992,31,-0.016478,0.0,0.0,1.5,0.0,16.5,1.300466,12.967817,29.4,0.50668
9,LOW SAMPLE,continuation_candidate,5,cross,0.618,4h,4,0.035241,0.012268,22.5,-0.018776,0.0,0.25,5.25,0.035,18.25,0.9442,11.277692,33.1379,0.396831
10,LOW SAMPLE,continuation_candidate,5,touch,0.618,4h,1,0.034612,0.021175,42,0.026363,0.0,1.0,11,0.08,15,1.835534,6.295938,15.542,0.015693
11,LOW SAMPLE,continuation_candidate,5,above,0.786,4h,1,0.028583,0.009173,43,-0.014251,0.0,1.0,16,0.36,13,0.713841,10.545126,40.066,0.20271
1,LOW SAMPLE,continuation_candidate,10,touch,0.786,4h,4,0.109327,0.033214,28.5,-0.008068,0.25,0.75,14.75,0.215,17,2.274901,9.294621,125.93115,0.378478
2,LOW SAMPLE,continuation_candidate,10,touch,1,4h,2,0.100866,0.04435,29,-0.025916,0.5,1.0,15,0.21,19.5,2.389598,3.281729,167.85,0.608291
3,LOW SAMPLE,continuation_candidate,10,cross,0.382,4h,2,0.058062,0.018286,28.5,0.032975,0.5,0.5,4.5,0.05,12.5,3.235839,2.456482,33.0,0.170581
4,ok,continuation_candidate,10,cross,1,4h,10,0.057241,0.030339,35.5,-0.003871,0.0,0.2,7.6,0.122,15.4,2.600542,6.134541,63.49,0.713363
5,LOW SAMPLE,continuation_candidate,10,above,1,4h,3,0.050004,0.013819,27.666667,-0.028233,0.3333,1.0,11,0.113333,14.666667,1.016601,9.837727,23.233333,0.443244
6,LOW SAMPLE,continuation_candidate,10,cross,0.5,4h,2,0.048895,0.009992,31,0.010427,0.0,0.0,1.5,0.0,16.5,1.300466,12.967817,29.4,0.50668
7,LOW SAMPLE,continuation_candidate,10,cross,0.618,4h,4,0.048015,0.020476,22.5,0.00088,0.25,0.5,5.25,0.035,18.25,0.9442,11.277692,33.1379,0.396831
8,LOW SAMPLE,continuation_candidate,10,below,0.786,4h,1,0.045363,0.003142,45,0.019982,0.0,0.0,6,0.08,7,3.328036,2.642612,18.1094,0.383662
9,ok,continuation_candidate,10,cross,0.786,4h,8,0.037179,0.032962,35,-0.007037,0.0,0.5,10.125,0.145,15.25,1.743529,19.275519,51.50235,0.581844
10,LOW SAMPLE,continuation_candidate,10,touch,0.618,4h,1,0.034612,0.021175,42,0.009184,0.0,1.0,11,0.08,15,1.835534,6.295938,15.542,0.015693
11,LOW SAMPLE,continuation_candidate,10,above,0.786,4h,1,0.033579,0.009419,43,-0.00131,1.0,1.0,16,0.36,13,0.713841,10.545126,40.066,0.20271
1,LOW SAMPLE,continuation_candidate,20,touch,0.786,4h,4,0.109327,0.033784,28.5,0.005177,0.5,0.75,14.75,0.215,17,2.274901,9.294621,125.93115,0.378478
2,LOW SAMPLE,continuation_candidate,20,touch,1,4h,2,0.100866,0.04715,29,-0.012377,0.5,1.0,15,0.21,19.5,2.389598,3.281729,167.85,0.608291
3,ok,continuation_candidate,20,cross,1,4h,10,0.076812,0.037904,35.5,0.014018,0.4,0.4,7.6,0.122,15.4,2.600542,6.134541,63.49,0.713363
4,LOW SAMPLE,continuation_candidate,20,cross,0.382,4h,2,0.058062,0.049814,28.5,0.059734,0.5,0.5,4.5,0.05,12.5,3.235839,2.456482,33.0,0.170581
