rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,above,0.5,4h,3,0.08985,0.002946,44.333333,-0.065591,0.0,0.3333,6.666667,0.08,11.666667,2.73486,3.052207,59.65,0.326847
2,ok,continuation_candidate,5,touch,0.786,4h,6,0.08204,0.007471,37.666667,-0.028501,0.0,0.5,5.333333,0.07,17.666667,3.63283,3.271874,100.35541,0.348581
3,ok,continuation_candidate,5,touch,0.5,4h,21,0.06657,0.009303,34.142857,-0.004237,0.0,0.5238,5.190476,0.047619,15.952381,2.49957,26.944406,68.27381,0.407172
4,LOW SAMPLE,continuation_candidate,5,above,0.786,4h,2,0.06352,0.003206,49.5,-0.03446,0.0,0.5,1.5,0.01,14,3.310436,2.268011,130.3345,0.49602
5,LOW SAMPLE,continuation_candidate,5,above,0.236,4h,1,0.05784,0.012342,7,-0.029954,0.0,1.0,11,0.06,20,1.695491,6.521152,74.5696,0.48636
6,ok,continuation_candidate,5,touch,1,4h,8,0.056675,0.010099,34.25,0.013909,0.0,0.5,5.125,0.045,15.5,1.155207,14.305714,149.75,0.452229
7,ok,continuation_candidate,5,cross,1,4h,14,0.055768,0.016561,36.214286,-0.005048,0.0,0.4286,7.214286,0.09,18.5,2.330117,6.172085,95.128571,0.470388
8,ok,continuation_candidate,5,touch,0.382,4h,18,0.054229,0.013016,35.444444,0.013688,0.0,0.5,7.833333,0.082222,14.722222,2.751709,6.921077,65.114444,0.320642
9,LOW SAMPLE,continuation_candidate,5,below,1,4h,2,0.052428,0.002767,32.5,0.037343,0.0,0.5,7.5,0.05,10.5,0.515749,37.975758,67.7,0.545719
10,LOW SAMPLE,continuation_candidate,5,above,0.618,4h,1,0.05223,0.002141,18,-0.01566,0.0,0.0,26,0.26,20,2.806645,3.008749,46.7144,0.471811
11,ok,continuation_candidate,5,below,0.618,4h,5,0.051551,0.011783,37,0.041395,0.0,0.6,8.8,0.112,15.6,3.11356,13.625048,86.05788,0.391592
12,LOW SAMPLE,continuation_candidate,5,above,0.382,4h,4,0.049294,0.008197,26.75,-0.032688,0.0,0.75,13.25,0.195,16,0.913612,36.637207,79.36965,0.529172
13,ok,continuation_candidate,5,cross,0.236,4h,30,0.048176,0.010296,37.666667,0.00581,0.0,0.1333,5.866667,0.073852,15.433333,1.879157,14.031102,62.607733,0.631401
14,ok,continuation_candidate,5,cross,0.618,4h,34,0.046422,0.013027,38.294118,0.000395,0.0,0.1765,6.941176,0.091176,14.970588,1.763524,30.352599,104.631376,0.474713
15,ok,continuation_candidate,5,touch,0.618,4h,19,0.045246,0.008338,30.894737,0.007435,0.0,0.7368,11.736842,0.142105,14.368421,2.517289,11.650296,86.159526,0.400479
16,ok,continuation_candidate,5,cross,0.786,4h,17,0.043839,0.013393,34.176471,-0.002496,0.0,0.2941,7.764706,0.104706,15.705882,2.705407,6.541249,108.257644,0.567748
17,ok,continuation_candidate,5,cross,0.382,4h,36,0.041403,0.019293,35.444444,0.012092,0.0,0.1944,7.277778,0.087778,17,1.841855,12.84132,93.376389,0.849121
18,ok,continuation_candidate,5,touch,0.236,4h,13,0.040292,0.010762,33.230769,0.008228,0.0,0.8462,10.461538,0.115385,16.461538,2.443705,12.701816,53.610492,0.316127
19,LOW SAMPLE,continuation_candidate,5,below,0.236,4h,4,0.040047,0.007734,30.25,0.023174,0.0,0.25,8.75,0.135,14.5,1.437518,8.104715,41.586,0.648327
20,ok,continuation_candidate,5,cross,0.5,4h,24,0.033335,0.014133,34.208333,-0.002276,0.0,0.125,7,0.083333,15.625,2.403609,7.802423,92.297917,0.749709
21,LOW SAMPLE,continuation_candidate,5,below,0.5,4h,1,0.026422,0.004525,11,0.014132,0.0,1.0,13,0.16,20,0.983527,7.830189,159.4,0.160828
22,LOW SAMPLE,continuation_candidate,5,above,1,4h,1,0.013677,0.037504,46,-0.008096,0.0,1.0,9,0.08,13,0.882869,10.797583,55.0,0.165371
1,ok,continuation_candidate,10,touch,0.786,4h,6,0.106063,0.009381,37.666667,-0.021386,0.0,0.6667,5.333333,0.07,17.666667,3.63283,3.271874,100.35541,0.348581
2,LOW SAMPLE,continuation_candidate,10,above,0.5,4h,3,0.097592,0.003501,44.333333,-0.042031,0.0,0.3333,6.666667,0.08,11.666667,2.73486,3.052207,59.65,0.326847
3,ok,continuation_candidate,10,below,0.618,4h,5,0.085417,0.011783,37,0.065383,0.0,0.6,8.8,0.112,15.6,3.11356,13.625048,86.05788,0.391592
4,ok,continuation_candidate,10,touch,0.5,4h,21,0.085402,0.020112,34.142857,-0.017386,0.1905,0.7143,5.190476,0.047619,15.952381,2.49957,26.944406,68.27381,0.407172
5,LOW SAMPLE,continuation_candidate,10,above,0.786,4h,2,0.083089,0.003206,49.5,-0.053293,0.0,0.5,1.5,0.01,14,3.310436,2.268011,130.3345,0.49602
6,ok,continuation_candidate,10,cross,1,4h,14,0.070866,0.021627,36.214286,-0.009835,0.2143,0.6429,7.214286,0.09,18.5,2.330117,6.172085,95.128571,0.470388
7,ok,continuation_candidate,10,touch,0.382,4h,18,0.070692,0.016211,35.444444,0.021609,0.1111,0.5556,7.833333,0.082222,14.722222,2.751709,6.921077,65.114444,0.320642
8,LOW SAMPLE,continuation_candidate,10,below,1,4h,2,0.067278,0.002767,32.5,0.05899,0.0,0.5,7.5,0.05,10.5,0.515749,37.975758,67.7,0.545719
9,ok,continuation_candidate,10,cross,0.236,4h,30,0.065411,0.016643,37.666667,0.006035,0.1333,0.4333,5.866667,0.073852,15.433333,1.879157,14.031102,62.607733,0.631401
10,ok,continuation_candidate,10,touch,1,4h,8,0.064062,0.011225,34.25,0.006852,0.25,0.625,5.125,0.045,15.5,1.155207,14.305714,149.75,0.452229
11,ok,continuation_candidate,10,touch,0.236,4h,13,0.063839,0.017046,33.230769,0.006298,0.3846,1.0,10.461538,0.115385,16.461538,2.443705,12.701816,53.610492,0.316127
12,ok,continuation_candidate,10,cross,0.618,4h,34,0.058658,0.019668,38.294118,-0.001735,0.1765,0.4118,6.941176,0.091176,14.970588,1.763524,30.352599,104.631376,0.474713
13,LOW SAMPLE,continuation_candidate,10,above,0.236,4h,1,0.05784,0.012342,7,-0.02355,0.0,1.0,11,0.06,20,1.695491,6.521152,74.5696,0.48636
14,ok,continuation_candidate,10,cross,0.786,4h,17,0.054565,0.019526,34.176471,0.004493,0.2941,0.4706,7.764706,0.104706,15.705882,2.705407,6.541249,108.257644,0.567748
15,ok,continuation_candidate,10,cross,0.382,4h,36,0.053748,0.02794,35.444444,0.003394,0.2778,0.4444,7.277778,0.087778,17,1.841855,12.84132,93.376389,0.849121
16,LOW SAMPLE,continuation_candidate,10,above,0.382,4h,4,0.053385,0.031423,26.75,-0.009424,0.5,1.0,13.25,0.195,16,0.913612,36.637207,79.36965,0.529172
17,ok,continuation_candidate,10,cross,0.5,4h,24,0.052322,0.024362,34.208333,-0.002816,0.25,0.4583,7,0.083333,15.625,2.403609,7.802423,92.297917,0.749709
18,LOW SAMPLE,continuation_candidate,10,above,0.618,4h,1,0.05223,0.006452,18,0.00349,1.0,1.0,26,0.26,20,2.806645,3.008749,46.7144,0.471811
19,ok,continuation_candidate,10,touch,0.618,4h,19,0.052137,0.014317,30.894737,0.00681,0.3158,0.7895,11.736842,0.142105,14.368421,2.517289,11.650296,86.159526,0.400479
20,LOW SAMPLE,continuation_candidate,10,below,0.236,4h,4,0.04669,0.011042,30.25,0.022396,0.25,0.75,8.75,0.135,14.5,1.437518,8.104715,41.586,0.648327
21,LOW SAMPLE,continuation_candidate,10,below,0.5,4h,1,0.026422,0.010278,11,-0.003798,1.0,1.0,13,0.16,20,0.983527,7.830189,159.4,0.160828
22,LOW SAMPLE,continuation_candidate,10,above,1,4h,1,0.024289,0.037504,46,0.012954,1.0,1.0,9,0.08,13,0.882869,10.797583,55.0,0.165371
1,ok,continuation_candidate,20,touch,0.786,4h,6,0.164668,0.009881,37.666667,-0.00222,0.1667,0.8333,5.333333,0.07,17.666667,3.63283,3.271874,100.35541,0.348581
2,LOW SAMPLE,continuation_candidate,20,above,0.786,4h,2,0.159263,0.003206,49.5,-0.126256,0.0,0.5,1.5,0.01,14,3.310436,2.268011,130.3345,0.49602
3,LOW SAMPLE,continuation_candidate,20,above,0.5,4h,3,0.142005,0.017205,44.333333,-0.073869,0.3333,0.6667,6.666667,0.08,11.666667,2.73486,3.052207,59.65,0.326847
4,LOW SAMPLE,continuation_candidate,20,above,1,4h,1,0.116676,0.037504,46,-0.079577,0.0,1.0,9,0.08,13,0.882869,10.797583,55.0,0.165371
5,LOW SAMPLE,continuation_candidate,20,below,1,4h,2,0.10694,0.037116,32.5,0.055643,0.5,1.0,7.5,0.05,10.5,0.515749,37.975758,67.7,0.545719
6,ok,continuation_candidate,20,touch,0.5,4h,21,0.104795,0.033647,34.142857,-0.013101,0.4286,0.7619,5.190476,0.047619,15.952381,2.49957,26.944406,68.27381,0.407172
7,ok,continuation_candidate,20,below,0.618,4h,5,0.096431,0.013201,37,0.047753,0.4,0.8,8.8,0.112,15.6,3.11356,13.625048,86.05788,0.391592
8,ok,continuation_candidate,20,cross,1,4h,14,0.092138,0.027633,36.214286,-0.006165,0.2857,0.7143,7.214286,0.09,18.5,2.330117,6.172085,95.128571,0.470388
9,ok,continuation_candidate,20,cross,0.236,4h,30,0.084831,0.032073,37.666667,0.016189,0.2,0.5667,5.866667,0.073852,15.433333,1.879157,14.031102,62.607733,0.631401
10,ok,continuation_candidate,20,touch,0.236,4h,13,0.084791,0.026067,33.230769,-0.008439,0.3077,1.0,10.461538,0.115385,16.461538,2.443705,12.701816,53.610492,0.316127
11,ok,continuation_candidate,20,touch,0.382,4h,18,0.079805,0.017374,35.444444,0.029388,0.2222,0.7222,7.833333,0.082222,14.722222,2.751709,6.921077,65.114444,0.320642
12,ok,continuation_candidate,20,cross,0.618,4h,34,0.07866,0.027877,38.294118,0.00358,0.1765,0.5294,6.941176,0.091176,14.970588,1.763524,30.352599,104.631376,0.474713
13,ok,continuation_candidate,20,touch,1,4h,8,0.071233,0.021835,34.25,-0.000203,0.375,0.625,5.125,0.045,15.5,1.155207,14.305714,149.75,0.452229
14,ok,continuation_candidate,20,cross,0.382,4h,36,0.065833,0.042886,35.444444,0.000126,0.3333,0.5278,7.277778,0.087778,17,1.841855,12.84132,93.376389,0.849121
