auto_candidate,relation,fib_level,timeframe,horizon,n_events,mean_forward_return,mean_mfe,mean_mae,rate_close_on_approach_side,rate_crossed_back,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_remained_near_level_rate
continuation_candidate,above,0.236,4h,10,1,-0.02355,0.05784,0.012342,0.0,1.0,20,1.695491,6.521152,74.5696,0.48636,7,11,0.06
continuation_candidate,above,0.236,4h,20,1,0.035792,0.05784,0.044598,1.0,1.0,20,1.695491,6.521152,74.5696,0.48636,7,11,0.06
continuation_candidate,above,0.236,4h,5,1,-0.029954,0.05784,0.012342,0.0,1.0,20,1.695491,6.521152,74.5696,0.48636,7,11,0.06
continuation_candidate,above,0.236,4h,50,1,-0.005971,0.05784,0.07602,1.0,1.0,20,1.695491,6.521152,74.5696,0.48636,7,11,0.06
continuation_candidate,above,0.382,4h,10,4,-0.009424,0.053385,0.031423,0.5,1.0,16,0.913612,36.637207,79.36965,0.529172,26.75,13.25,0.195
continuation_candidate,above,0.382,4h,20,4,-0.03296,0.065726,0.038738,0.25,1.0,16,0.913612,36.637207,79.36965,0.529172,26.75,13.25,0.195
continuation_candidate,above,0.382,4h,5,4,-0.032688,0.049294,0.008197,0.0,0.75,16,0.913612,36.637207,79.36965,0.529172,26.75,13.25,0.195
continuation_candidate,above,0.382,4h,50,4,-0.01373,0.070892,0.064347,0.5,1.0,16,0.913612,36.637207,79.36965,0.529172,26.75,13.25,0.195
continuation_candidate,above,0.5,4h,10,3,-0.042031,0.097592,0.003501,0.0,0.3333,11.666667,2.73486,3.052207,59.65,0.326847,44.333333,6.666667,0.08
continuation_candidate,above,0.5,4h,20,3,-0.073869,0.142005,0.017205,0.3333,0.6667,11.666667,2.73486,3.052207,59.65,0.326847,44.333333,6.666667,0.08
continuation_candidate,above,0.5,4h,5,3,-0.065591,0.08985,0.002946,0.0,0.3333,11.666667,2.73486,3.052207,59.65,0.326847,44.333333,6.666667,0.08
continuation_candidate,above,0.5,4h,50,3,-0.237864,0.302148,0.017205,0.0,0.6667,11.666667,2.73486,3.052207,59.65,0.326847,44.333333,6.666667,0.08
continuation_candidate,above,0.618,4h,10,1,0.00349,0.05223,0.006452,1.0,1.0,20,2.806645,3.008749,46.7144,0.471811,18,26,0.26
continuation_candidate,above,0.618,4h,20,1,-0.000557,0.05223,0.006452,1.0,1.0,20,2.806645,3.008749,46.7144,0.471811,18,26,0.26
continuation_candidate,above,0.618,4h,5,1,-0.01566,0.05223,0.002141,0.0,0.0,20,2.806645,3.008749,46.7144,0.471811,18,26,0.26
continuation_candidate,above,0.618,4h,50,1,0.013021,0.05223,0.034253,1.0,1.0,20,2.806645,3.008749,46.7144,0.471811,18,26,0.26
continuation_candidate,above,0.786,4h,10,2,-0.053293,0.083089,0.003206,0.0,0.5,14,3.310436,2.268011,130.3345,0.49602,49.5,1.5,0.01
continuation_candidate,above,0.786,4h,20,2,-0.126256,0.159263,0.003206,0.0,0.5,14,3.310436,2.268011,130.3345,0.49602,49.5,1.5,0.01
continuation_candidate,above,0.786,4h,5,2,-0.03446,0.06352,0.003206,0.0,0.5,14,3.310436,2.268011,130.3345,0.49602,49.5,1.5,0.01
continuation_candidate,above,0.786,4h,50,2,-0.188377,0.259956,0.003206,0.0,0.5,14,3.310436,2.268011,130.3345,0.49602,49.5,1.5,0.01
continuation_candidate,above,1,4h,10,1,0.012954,0.024289,0.037504,1.0,1.0,13,0.882869,10.797583,55.0,0.165371,46,9,0.08
continuation_candidate,above,1,4h,20,1,-0.079577,0.116676,0.037504,0.0,1.0,13,0.882869,10.797583,55.0,0.165371,46,9,0.08
continuation_candidate,above,1,4h,5,1,-0.008096,0.013677,0.037504,0.0,1.0,13,0.882869,10.797583,55.0,0.165371,46,9,0.08
continuation_candidate,above,1,4h,50,1,-0.120579,0.167221,0.037504,0.0,1.0,13,0.882869,10.797583,55.0,0.165371,46,9,0.08
continuation_candidate,below,0.236,4h,10,4,0.022396,0.04669,0.011042,0.25,0.75,14.5,1.437518,8.104715,41.586,0.648327,30.25,8.75,0.135
continuation_candidate,below,0.236,4h,20,4,0.030562,0.064141,0.020068,0.25,1.0,14.5,1.437518,8.104715,41.586,0.648327,30.25,8.75,0.135
continuation_candidate,below,0.236,4h,5,4,0.023174,0.040047,0.007734,0.0,0.25,14.5,1.437518,8.104715,41.586,0.648327,30.25,8.75,0.135
continuation_candidate,below,0.236,4h,50,4,0.037447,0.099438,0.032451,0.5,1.0,14.5,1.437518,8.104715,41.586,0.648327,30.25,8.75,0.135
continuation_candidate,below,0.5,4h,10,1,-0.003798,0.026422,0.010278,1.0,1.0,20,0.983527,7.830189,159.4,0.160828,11,13,0.16
continuation_candidate,below,0.5,4h,20,1,-0.005307,0.026422,0.033209,1.0,1.0,20,0.983527,7.830189,159.4,0.160828,11,13,0.16
continuation_candidate,below,0.5,4h,5,1,0.014132,0.026422,0.004525,0.0,1.0,20,0.983527,7.830189,159.4,0.160828,11,13,0.16
continuation_candidate,below,0.5,4h,50,1,-0.084432,0.026422,0.102782,1.0,1.0,20,0.983527,7.830189,159.4,0.160828,11,13,0.16
continuation_candidate,below,0.618,4h,10,5,0.065383,0.085417,0.011783,0.0,0.6,15.6,3.11356,13.625048,86.05788,0.391592,37,8.8,0.112
continuation_candidate,below,0.618,4h,20,5,0.047753,0.096431,0.013201,0.4,0.8,15.6,3.11356,13.625048,86.05788,0.391592,37,8.8,0.112
continuation_candidate,below,0.618,4h,5,5,0.041395,0.051551,0.011783,0.0,0.6,15.6,3.11356,13.625048,86.05788,0.391592,37,8.8,0.112
continuation_candidate,below,0.618,4h,50,5,0.044807,0.129476,0.029921,0.4,1.0,15.6,3.11356,13.625048,86.05788,0.391592,37,8.8,0.112
continuation_candidate,below,1,4h,10,2,0.05899,0.067278,0.002767,0.0,0.5,10.5,0.515749,37.975758,67.7,0.545719,32.5,7.5,0.05
continuation_candidate,below,1,4h,20,2,0.055643,0.10694,0.037116,0.5,1.0,10.5,0.515749,37.975758,67.7,0.545719,32.5,7.5,0.05
continuation_candidate,below,1,4h,5,2,0.037343,0.052428,0.002767,0.0,0.5,10.5,0.515749,37.975758,67.7,0.545719,32.5,7.5,0.05
continuation_candidate,below,1,4h,50,2,0.026549,0.130351,0.094046,0.5,1.0,10.5,0.515749,37.975758,67.7,0.545719,32.5,7.5,0.05
continuation_candidate,cross,0.236,4h,10,30,0.006035,0.065411,0.016643,0.1333,0.4333,15.433333,1.879157,14.031102,62.607733,0.631401,37.666667,5.866667,0.073852
continuation_candidate,cross,0.236,4h,20,30,0.016189,0.084831,0.032073,0.2,0.5667,15.433333,1.879157,14.031102,62.607733,0.631401,37.666667,5.866667,0.073852
continuation_candidate,cross,0.236,4h,5,30,0.00581,0.048176,0.010296,0.0,0.1333,15.433333,1.879157,14.031102,62.607733,0.631401,37.666667,5.866667,0.073852
continuation_candidate,cross,0.236,4h,50,30,0.019061,0.125949,0.04975,0.2667,0.7333,15.433333,1.879157,14.031102,62.607733,0.631401,37.666667,5.866667,0.073852
continuation_candidate,cross,0.382,4h,10,36,0.003394,0.053748,0.02794,0.2778,0.4444,17,1.841855,12.84132,93.376389,0.849121,35.444444,7.277778,0.087778
continuation_candidate,cross,0.382,4h,20,36,0.000126,0.065833,0.042886,0.3333,0.5278,17,1.841855,12.84132,93.376389,0.849121,35.444444,7.277778,0.087778
continuation_candidate,cross,0.382,4h,5,36,0.012092,0.041403,0.019293,0.0,0.1944,17,1.841855,12.84132,93.376389,0.849121,35.444444,7.277778,0.087778
continuation_candidate,cross,0.382,4h,50,36,-0.012309,0.091488,0.067149,0.3056,0.5833,17,1.841855,12.84132,93.376389,0.849121,35.444444,7.277778,0.087778
continuation_candidate,cross,0.5,4h,10,24,-0.002816,0.052322,0.024362,0.25,0.4583,15.625,2.403609,7.802423,92.297917,0.749709,34.208333,7,0.083333
continuation_candidate,cross,0.5,4h,20,24,0.009761,0.064864,0.035423,0.25,0.5417,15.625,2.403609,7.802423,92.297917,0.749709,34.208333,7,0.083333
continuation_candidate,cross,0.5,4h,5,24,-0.002276,0.033335,0.014133,0.0,0.125,15.625,2.403609,7.802423,92.297917,0.749709,34.208333,7,0.083333
continuation_candidate,cross,0.5,4h,50,24,0.038277,0.094728,0.069772,0.4167,0.7917,15.625,2.403609,7.802423,92.297917,0.749709,34.208333,7,0.083333
continuation_candidate,cross,0.618,4h,10,34,-0.001735,0.058658,0.019668,0.1765,0.4118,14.970588,1.763524,30.352599,104.631376,0.474713,38.294118,6.941176,0.091176
continuation_candidate,cross,0.618,4h,20,34,0.00358,0.07866,0.027877,0.1765,0.5294,14.970588,1.763524,30.352599,104.631376,0.474713,38.294118,6.941176,0.091176
continuation_candidate,cross,0.618,4h,5,34,0.000395,0.046422,0.013027,0.0,0.1765,14.970588,1.763524,30.352599,104.631376,0.474713,38.294118,6.941176,0.091176
continuation_candidate,cross,0.618,4h,50,34,0.01682,0.117124,0.054093,0.3529,0.6765,14.970588,1.763524,30.352599,104.631376,0.474713,38.294118,6.941176,0.091176
continuation_candidate,cross,0.786,4h,10,17,0.004493,0.054565,0.019526,0.2941,0.4706,15.705882,2.705407,6.541249,108.257644,0.567748,34.176471,7.764706,0.104706
continuation_candidate,cross,0.786,4h,20,17,0.024958,0.061263,0.037128,0.3529,0.6471,15.705882,2.705407,6.541249,108.257644,0.567748,34.176471,7.764706,0.104706
continuation_candidate,cross,0.786,4h,5,17,-0.002496,0.043839,0.013393,0.0,0.2941,15.705882,2.705407,6.541249,108.257644,0.567748,34.176471,7.764706,0.104706
continuation_candidate,cross,0.786,4h,50,17,0.04183,0.115843,0.055638,0.4706,0.7059,15.705882,2.705407,6.541249,108.257644,0.567748,34.176471,7.764706,0.104706
continuation_candidate,cross,1,4h,10,14,-0.009835,0.070866,0.021627,0.2143,0.6429,18.5,2.330117,6.172085,95.128571,0.470388,36.214286,7.214286,0.09
continuation_candidate,cross,1,4h,20,14,-0.006165,0.092138,0.027633,0.2857,0.7143,18.5,2.330117,6.172085,95.128571,0.470388,36.214286,7.214286,0.09
continuation_candidate,cross,1,4h,5,14,-0.005048,0.055768,0.016561,0.0,0.4286,18.5,2.330117,6.172085,95.128571,0.470388,36.214286,7.214286,0.09
continuation_candidate,cross,1,4h,50,14,-0.022175,0.095185,0.060139,0.4286,0.7857,18.5,2.330117,6.172085,95.128571,0.470388,36.214286,7.214286,0.09
continuation_candidate,touch,0.236,4h,10,13,0.006298,0.063839,0.017046,0.3846,1.0,16.461538,2.443705,12.701816,53.610492,0.316127,33.230769,10.461538,0.115385
continuation_candidate,touch,0.236,4h,20,13,-0.008439,0.084791,0.026067,0.3077,1.0,16.461538,2.443705,12.701816,53.610492,0.316127,33.230769,10.461538,0.115385
continuation_candidate,touch,0.236,4h,5,13,0.008228,0.040292,0.010762,0.0,0.8462,16.461538,2.443705,12.701816,53.610492,0.316127,33.230769,10.461538,0.115385
continuation_candidate,touch,0.236,4h,50,13,-0.005846,0.108469,0.062699,0.4615,1.0,16.461538,2.443705,12.701816,53.610492,0.316127,33.230769,10.461538,0.115385
continuation_candidate,touch,0.382,4h,10,18,0.021609,0.070692,0.016211,0.1111,0.5556,14.722222,2.751709,6.921077,65.114444,0.320642,35.444444,7.833333,0.082222
continuation_candidate,touch,0.382,4h,20,18,0.029388,0.079805,0.017374,0.2222,0.7222,14.722222,2.751709,6.921077,65.114444,0.320642,35.444444,7.833333,0.082222
continuation_candidate,touch,0.382,4h,5,18,0.013688,0.054229,0.013016,0.0,0.5,14.722222,2.751709,6.921077,65.114444,0.320642,35.444444,7.833333,0.082222
continuation_candidate,touch,0.382,4h,50,18,0.065116,0.114849,0.055914,0.3333,0.9444,14.722222,2.751709,6.921077,65.114444,0.320642,35.444444,7.833333,0.082222
continuation_candidate,touch,0.5,4h,10,21,-0.017386,0.085402,0.020112,0.1905,0.7143,15.952381,2.49957,26.944406,68.27381,0.407172,34.142857,5.190476,0.047619
continuation_candidate,touch,0.5,4h,20,21,-0.013101,0.104795,0.033647,0.4286,0.7619,15.952381,2.49957,26.944406,68.27381,0.407172,34.142857,5.190476,0.047619
continuation_candidate,touch,0.5,4h,5,21,-0.004237,0.06657,0.009303,0.0,0.5238,15.952381,2.49957,26.944406,68.27381,0.407172,34.142857,5.190476,0.047619
continuation_candidate,touch,0.5,4h,50,21,-0.008362,0.133748,0.059937,0.3333,0.8095,15.952381,2.49957,26.944406,68.27381,0.407172,34.142857,5.190476,0.047619
continuation_candidate,touch,0.618,4h,10,19,0.00681,0.052137,0.014317,0.3158,0.7895,14.368421,2.517289,11.650296,86.159526,0.400479,30.894737,11.736842,0.142105
continuation_candidate,touch,0.618,4h,20,19,-0.003373,0.062907,0.028065,0.5789,0.8947,14.368421,2.517289,11.650296,86.159526,0.400479,30.894737,11.736842,0.142105
continuation_candidate,touch,0.618,4h,5,19,0.007435,0.045246,0.008338,0.0,0.7368,14.368421,2.517289,11.650296,86.159526,0.400479,30.894737,11.736842,0.142105
continuation_candidate,touch,0.618,4h,50,19,0.025523,0.087952,0.050171,0.4211,1.0,14.368421,2.517289,11.650296,86.159526,0.400479,30.894737,11.736842,0.142105
continuation_candidate,touch,0.786,4h,10,6,-0.021386,0.106063,0.009381,0.0,0.6667,17.666667,3.63283,3.271874,100.35541,0.348581,37.666667,5.333333,0.07
continuation_candidate,touch,0.786,4h,20,6,-0.00222,0.164668,0.009881,0.1667,0.8333,17.666667,3.63283,3.271874,100.35541,0.348581,37.666667,5.333333,0.07
continuation_candidate,touch,0.786,4h,5,6,-0.028501,0.08204,0.007471,0.0,0.5,17.666667,3.63283,3.271874,100.35541,0.348581,37.666667,5.333333,0.07
continuation_candidate,touch,0.786,4h,50,6,0.010993,0.178727,0.03573,0.3333,0.8333,17.666667,3.63283,3.271874,100.35541,0.348581,37.666667,5.333333,0.07
continuation_candidate,touch,1,4h,10,8,0.006852,0.064062,0.011225,0.25,0.625,15.5,1.155207,14.305714,149.75,0.452229,34.25,5.125,0.045
continuation_candidate,touch,1,4h,20,8,-0.000203,0.071233,0.021835,0.375,0.625,15.5,1.155207,14.305714,149.75,0.452229,34.25,5.125,0.045
continuation_candidate,touch,1,4h,5,8,0.013909,0.056675,0.010099,0.0,0.5,15.5,1.155207,14.305714,149.75,0.452229,34.25,5.125,0.045
continuation_candidate,touch,1,4h,50,8,0.040148,0.104608,0.044259,0.625,0.75,15.5,1.155207,14.305714,149.75,0.452229,34.25,5.125,0.045
failure_candidate,above,0.5,4h,10,1,0.002745,0.009978,0.060305,1.0,1.0,20,2.659885,3.117161,146.25,0.506863,4,5,0.02
failure_candidate,above,0.5,4h,20,1,0.028845,0.038344,0.060305,1.0,1.0,20,2.659885,3.117161,146.25,0.506863,4,5,0.02
failure_candidate,above,0.5,4h,5,1,-0.001656,0.004488,0.060305,1.0,1.0,20,2.659885,3.117161,146.25,0.506863,4,5,0.02
failure_candidate,above,0.5,4h,50,1,0.056035,0.075861,0.060305,1.0,1.0,20,2.659885,3.117161,146.25,0.506863,4,5,0.02
failure_candidate,below,0.236,4h,10,1,-0.000847,0.013785,0.035597,1.0,1.0,20,0.130086,71.871795,26.2304,0.451311,42,11,0.08
failure_candidate,below,0.236,4h,20,1,0.007248,0.013785,0.035597,0.0,1.0,20,0.130086,71.871795,26.2304,0.451311,42,11,0.08
failure_candidate,below,0.236,4h,5,1,0.003014,0.008264,0.035597,1.0,1.0,20,0.130086,71.871795,26.2304,0.451311,42,11,0.08
failure_candidate,below,0.236,4h,50,1,0.090771,0.013785,0.104115,0.0,1.0,20,0.130086,71.871795,26.2304,0.451311,42,11,0.08
failure_candidate,below,0.382,4h,10,1,0.041487,0.029488,0.050841,0.0,1.0,9,1.332568,6.180867,48.2122,0.444432,22,20,0.28
failure_candidate,below,0.382,4h,20,1,0.020591,0.029488,0.062332,0.0,1.0,9,1.332568,6.180867,48.2122,0.444432,22,20,0.28
failure_candidate,below,0.382,4h,5,1,-0.005847,0.010626,0.0453,1.0,1.0,9,1.332568,6.180867,48.2122,0.444432,22,20,0.28
failure_candidate,below,0.382,4h,50,1,0.008796,0.029488,0.118054,1.0,1.0,9,1.332568,6.180867,48.2122,0.444432,22,20,0.28
failure_candidate,below,0.618,4h,10,1,-0.000939,0.024892,0.028702,1.0,1.0,20,2.359509,4.09427,59.7152,0.600638,5,10,0.12
failure_candidate,below,0.618,4h,20,1,0.009106,0.038226,0.028702,1.0,1.0,20,2.359509,4.09427,59.7152,0.600638,5,10,0.12
failure_candidate,below,0.618,4h,5,1,-0.00454,0.013412,0.028702,1.0,1.0,20,2.359509,4.09427,59.7152,0.600638,5,10,0.12
failure_candidate,below,0.618,4h,50,1,-0.046158,0.122818,0.028702,1.0,1.0,20,2.359509,4.09427,59.7152,0.600638,5,10,0.12
failure_candidate,cross,0.236,4h,10,16,0.022192,0.051605,0.016465,0.8125,0.625,15.5625,2.300015,20.389207,47.539575,0.337853,10.75,8.125,0.09625
failure_candidate,cross,0.236,4h,20,16,0.022385,0.07013,0.019185,0.75,0.75,15.5625,2.300015,20.389207,47.539575,0.337853,10.75,8.125,0.09625
failure_candidate,cross,0.236,4h,5,16,0.009826,0.031479,0.011077,1.0,0.5625,15.5625,2.300015,20.389207,47.539575,0.337853,10.75,8.125,0.09625
failure_candidate,cross,0.236,4h,50,16,0.041904,0.107412,0.024515,0.8125,0.8125,15.5625,2.300015,20.389207,47.539575,0.337853,10.75,8.125,0.09625
failure_candidate,cross,0.382,4h,10,19,-0.00319,0.060285,0.020252,0.8421,0.7895,17.578947,2.694474,39.212239,85.857326,0.41905,15.578947,10.052632,0.113684
failure_candidate,cross,0.382,4h,20,19,-0.009849,0.087876,0.032596,0.7368,0.9474,17.578947,2.694474,39.212239,85.857326,0.41905,15.578947,10.052632,0.113684
failure_candidate,cross,0.382,4h,5,19,0.009239,0.042373,0.015158,1.0,0.7895,17.578947,2.694474,39.212239,85.857326,0.41905,15.578947,10.052632,0.113684
failure_candidate,cross,0.382,4h,50,19,-0.039546,0.10944,0.061225,0.5789,1.0,17.578947,2.694474,39.212239,85.857326,0.41905,15.578947,10.052632,0.113684
failure_candidate,cross,0.5,4h,10,15,0.01386,0.063864,0.016227,0.8667,0.7333,15,2.559924,9.729703,96.036667,0.457132,16.666667,7.2,0.065333
failure_candidate,cross,0.5,4h,20,15,0.037225,0.079631,0.027619,0.6,0.7333,15,2.559924,9.729703,96.036667,0.457132,16.666667,7.2,0.065333
failure_candidate,cross,0.5,4h,5,15,0.009958,0.047716,0.010254,1.0,0.6,15,2.559924,9.729703,96.036667,0.457132,16.666667,7.2,0.065333
failure_candidate,cross,0.5,4h,50,15,0.045558,0.116448,0.046847,0.6667,0.8,15,2.559924,9.729703,96.036667,0.457132,16.666667,7.2,0.065333
