auto_candidate,relation,fib_level,timeframe,n_events,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_max_extension_away
rejection_candidate,above,0.382,1d,10,12.7,2.889311,0.460855,15.8,4.4,1534.746758
rejection_candidate,above,0.5,1d,6,13.833333,2.019469,0.57587,12.5,2,15.941482
rejection_candidate,above,0.618,1d,9,12.111111,2.78111,0.274013,6.444444,2.111111,1424.623877
rejection_candidate,above,0.786,1d,9,13.777778,2.996766,0.467359,14.555556,3,1598.243232
rejection_candidate,above,1,1d,9,16.777778,3.574882,0.63075,12.222222,4,64.379877
rejection_candidate,below,0.236,1d,8,11.375,2.142141,0.280834,2.75,4.5,13.568672
rejection_candidate,below,0.382,1d,11,13.090909,2.05439,0.3986,10,5.818182,97.753664
rejection_candidate,below,0.5,1d,6,8.5,1.55391,0.349169,2.166667,3.5,37.274167
rejection_candidate,below,0.618,1d,9,12.222222,3.078856,0.324537,8.222222,7.222222,64.606811
rejection_candidate,below,0.786,1d,8,10.375,2.922067,0.429394,5.25,5.625,3.803063
rejection_candidate,below,1,1d,5,11.2,2.598387,0.331253,2.6,3.4,20.744
rejection_candidate,cross,0.236,1d,7,7.714286,2.105774,0.045217,21.285714,4,243.940314
rejection_candidate,cross,0.382,1d,11,6.181818,2.750786,0.077903,2.272727,4.181818,115.894809
rejection_candidate,cross,0.5,1d,13,8.769231,2.187619,0.038469,14.307692,9.538462,63.954708
rejection_candidate,cross,0.618,1d,7,16.142857,2.080089,0.0243,7.428571,5,115.069643
rejection_candidate,cross,0.786,1d,2,19,1.596307,0.023579,14,21.5,45.91205
rejection_candidate,cross,1,1d,1,20,4.751198,0.056609,36,7,104.96889
rejection_candidate,touch,0.236,1d,35,13.942857,1.9085,0.498104,10.571429,4.285714,87.893617
rejection_candidate,touch,0.382,1d,48,11.270833,2.443551,0.405892,14,5.666667,763.637976
rejection_candidate,touch,0.5,1d,43,12.651163,2.718072,0.355039,12.790698,5.488372,69.958552
rejection_candidate,touch,0.618,1d,49,12.204082,2.062359,0.351937,8.836735,4.469388,347.933993
rejection_candidate,touch,0.786,1d,28,13.714286,2.127013,0.418878,13.035714,4.678571,98.275356
rejection_candidate,touch,1,1d,20,14.15,3.39057,0.485554,9.6,2.8,35.808278
