rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,ok,continuation_candidate,5,above,1,4h,15,0.091264,0.012462,40.333333,-0.062506,0.0,0.7333,7.533333,0.081333,11.333333,2.303232,6.970349,5.986667,0.336244
2,ok,continuation_candidate,5,below,0.786,4h,18,0.072085,0.009909,35.888889,0.057697,0.0,0.5556,7.111111,0.07,14.333333,2.943723,3.91384,7.274385,0.411817
3,ok,continuation_candidate,5,above,0.5,4h,19,0.070008,0.010756,43.263158,-0.046393,0.0,0.6316,7.210526,0.089474,15.894737,2.384353,9.177583,6.008184,0.497405
4,ok,continuation_candidate,5,above,0.382,4h,22,0.068065,0.020127,37.318182,-0.044416,0.0,0.5909,9.409091,0.113636,13.454545,1.899783,10.005871,6.820739,0.338827
5,ok,continuation_candidate,5,touch,0.786,4h,126,0.067997,0.012996,33.746032,0.001201,0.0,0.5556,7.579365,0.082381,14.952381,2.287782,24.857487,5.447373,0.319295
6,ok,continuation_candidate,5,touch,0.382,4h,131,0.066376,0.013193,36.641221,-0.002937,0.0,0.5573,8.320611,0.088244,14.877863,2.35416,18.325255,5.508843,0.291957
7,ok,continuation_candidate,5,touch,0.618,4h,146,0.066044,0.012488,34.678082,0.005286,0.0,0.5548,8.479452,0.090137,15.006849,2.068774,15.338184,5.271106,0.290975
8,ok,continuation_candidate,5,below,0.5,4h,17,0.062633,0.01466,30.058824,0.043276,0.0,0.6471,6.941176,0.055294,16.529412,1.961394,9.269958,5.2975,0.559138
9,ok,continuation_candidate,5,touch,0.5,4h,131,0.062521,0.012661,34.755725,-0.004306,0.0,0.5573,8.351145,0.095573,15.19084,2.264812,10.167184,6.137607,0.274739
10,ok,continuation_candidate,5,above,0.618,4h,18,0.062495,0.013666,35.777778,-0.045876,0.0,0.5556,7.944444,0.104444,13.444444,1.492573,11.870171,6.050312,0.378983
11,ok,continuation_candidate,5,touch,1,4h,102,0.060965,0.015131,34.882353,-0.000939,0.0,0.6176,8.980392,0.104074,15.637255,2.027494,17.219517,5.644824,0.336449
12,ok,continuation_candidate,5,touch,0.236,4h,144,0.060891,0.01352,35.159722,-0.007769,0.0,0.6181,7.875,0.087222,15.229167,2.091837,28.793418,5.096226,0.308811
13,ok,continuation_candidate,5,above,0.786,4h,16,0.06086,0.012822,36.6875,-0.044734,0.0,0.6875,8.625,0.10375,13.3125,1.809149,8.094532,5.425166,0.577062
14,ok,continuation_candidate,5,above,0.236,4h,19,0.058116,0.01349,29.473684,-0.037625,0.0,0.7368,7.631579,0.086316,13.315789,1.885769,50.309496,4.382027,0.349081
15,ok,continuation_candidate,5,below,1,4h,23,0.054915,0.013996,31.565217,0.040123,0.0,0.913,9.26087,0.106957,15.478261,2.378235,7.368267,5.429565,0.424768
16,ok,continuation_candidate,5,below,0.618,4h,21,0.054859,0.011589,28.380952,0.041912,0.0,0.619,7.619048,0.084762,14.714286,2.834661,4.631956,4.504737,0.326249
17,ok,continuation_candidate,5,cross,0.618,4h,186,0.053297,0.017286,37.451613,0.000736,0.0,0.2634,6.274194,0.069462,15.870968,2.033887,20.767587,6.087842,0.49849
18,ok,continuation_candidate,5,cross,1,4h,171,0.053094,0.020351,36.982456,0.002441,0.0,0.3041,6.672515,0.073333,16.175439,2.318392,9.109712,6.187556,0.539328
19,ok,continuation_candidate,5,below,0.236,4h,33,0.0528,0.013342,31.151515,0.037692,0.0,0.7273,6.242424,0.06,13.636364,2.195885,8.036728,4.459928,0.446854
20,ok,continuation_candidate,5,cross,0.382,4h,188,0.052404,0.017503,36.632979,-0.000172,0.0,0.266,6.255319,0.066702,16.87234,2.063342,18.389576,6.41651,0.507659
21,ok,continuation_candidate,5,cross,0.5,4h,187,0.051654,0.01765,37.470588,0.00214,0.0,0.2674,6.566845,0.070374,16.149733,2.148459,21.362889,6.151743,0.526896
22,ok,continuation_candidate,5,cross,0.786,4h,201,0.051069,0.017169,36.542289,-0.001658,0.0,0.2587,6.074627,0.064975,15.885572,1.995958,24.349926,6.069572,0.555972
23,ok,continuation_candidate,5,below,0.382,4h,30,0.04965,0.011688,35.3,0.036973,0.0,0.5,7.833333,0.081333,16.066667,2.17904,24.111796,4.281275,0.335256
24,ok,continuation_candidate,5,cross,0.236,4h,226,0.049315,0.017684,35.349558,0.00404,0.0,0.3009,7.345133,0.084425,15.606195,2.242548,14.246489,6.170296,0.517439
1,ok,continuation_candidate,10,above,1,4h,15,0.122372,0.012714,40.333333,-0.064134,0.1333,0.7333,7.533333,0.081333,11.333333,2.303232,6.970349,5.986667,0.336244
2,ok,continuation_candidate,10,above,0.382,4h,22,0.116637,0.024563,37.318182,-0.063338,0.2273,0.6818,9.409091,0.113636,13.454545,1.899783,10.005871,6.820739,0.338827
3,ok,continuation_candidate,10,above,0.5,4h,19,0.114207,0.014132,43.263158,-0.072331,0.1053,0.7895,7.210526,0.089474,15.894737,2.384353,9.177583,6.008184,0.497405
4,ok,continuation_candidate,10,below,0.786,4h,18,0.108463,0.016955,35.888889,0.065202,0.1111,0.6111,7.111111,0.07,14.333333,2.943723,3.91384,7.274385,0.411817
5,ok,continuation_candidate,10,touch,0.786,4h,126,0.092469,0.020858,33.746032,6.6e-05,0.2619,0.6508,7.579365,0.082381,14.952381,2.287782,24.857487,5.447373,0.319295
6,ok,continuation_candidate,10,above,0.786,4h,16,0.091973,0.015352,36.6875,-0.060667,0.3125,0.75,8.625,0.10375,13.3125,1.809149,8.094532,5.425166,0.577062
7,ok,continuation_candidate,10,touch,0.382,4h,131,0.089236,0.017981,36.641221,-0.001433,0.1756,0.6412,8.320611,0.088244,14.877863,2.35416,18.325255,5.508843,0.291957
8,ok,continuation_candidate,10,touch,0.5,4h,131,0.087412,0.019952,34.755725,-0.002759,0.2366,0.6641,8.351145,0.095573,15.19084,2.264812,10.167184,6.137607,0.274739
9,ok,continuation_candidate,10,below,0.5,4h,17,0.086304,0.019307,30.058824,0.04516,0.1765,0.7647,6.941176,0.055294,16.529412,1.961394,9.269958,5.2975,0.559138
10,ok,continuation_candidate,10,touch,0.618,4h,146,0.085791,0.021007,34.678082,0.00806,0.2671,0.6849,8.479452,0.090137,15.006849,2.068774,15.338184,5.271106,0.290975
11,ok,continuation_candidate,10,touch,1,4h,102,0.085018,0.021318,34.882353,0.005142,0.2059,0.6569,8.980392,0.104074,15.637255,2.027494,17.219517,5.644824,0.336449
12,ok,continuation_candidate,10,touch,0.236,4h,144,0.083329,0.019907,35.159722,-0.006084,0.2361,0.7083,7.875,0.087222,15.229167,2.091837,28.793418,5.096226,0.308811
13,ok,continuation_candidate,10,cross,0.618,4h,186,0.080319,0.025243,37.451613,-0.000699,0.2043,0.4624,6.274194,0.069462,15.870968,2.033887,20.767587,6.087842,0.49849
