rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,ok,continuation_candidate,5,above,1,4h,27,0.070396,0.012479,33.592593,-0.047766,0.0,0.8148,8.777778,0.098853,12.148148,1.9333,9.817916,479.836852,0.411426
2,ok,continuation_candidate,5,above,0.5,4h,26,0.068061,0.0089,42.653846,-0.047183,0.0,0.6154,7.846154,0.103846,14.269231,2.365201,8.958033,40.46675,0.502523
3,ok,continuation_candidate,5,touch,0.786,4h,164,0.066686,0.011909,33.603659,-0.001678,0.0,0.5488,7.981707,0.088042,15.292683,2.409821,20.809966,133.663248,0.342746
4,ok,continuation_candidate,5,below,0.786,4h,24,0.064192,0.008609,37.291667,0.050364,0.0,0.5417,6.375,0.063333,14.916667,2.918251,5.926184,222.880547,0.411308
5,ok,continuation_candidate,5,above,0.382,4h,31,0.06401,0.017694,33.129032,-0.040956,0.0,0.6452,9.548387,0.121613,13.774194,1.893544,12.455441,61.148597,0.379379
6,ok,continuation_candidate,5,touch,0.5,4h,178,0.06289,0.01123,35.325843,-0.003977,0.0,0.5393,7.516854,0.086073,15.348315,2.347063,11.901559,72.97107,0.306211
7,ok,continuation_candidate,5,above,0.786,4h,25,0.062053,0.011773,36.56,-0.042705,0.0,0.68,9.08,0.112,13.68,2.063199,9.562032,167.851512,0.561676
8,ok,continuation_candidate,5,touch,0.618,4h,200,0.061524,0.012062,34.045,0.003178,0.0,0.575,8.555,0.094984,14.79,2.075149,13.761134,50.673586,0.30613
9,ok,continuation_candidate,5,touch,0.382,4h,177,0.061253,0.013008,36.163842,4.3e-05,0.0,0.5989,8.570621,0.092881,15.163842,2.419581,15.675772,97.162153,0.301557
10,ok,continuation_candidate,5,above,0.618,4h,22,0.06034,0.012618,33.590909,-0.044087,0.0,0.5455,9.227273,0.112727,13.954545,1.617673,10.792085,7.627788,0.36097
11,ok,continuation_candidate,5,touch,1,4h,140,0.059113,0.013859,34.992857,-0.00229,0.0,0.6071,8.457143,0.096968,15.757143,2.069361,18.317952,169.115429,0.34078
12,ok,continuation_candidate,5,below,0.5,4h,22,0.058935,0.012791,30.545455,0.03948,0.0,0.5455,7.590909,0.069091,16.590909,1.887359,8.742628,224.609341,0.518771
13,ok,continuation_candidate,5,touch,0.236,4h,180,0.057304,0.01285,35.022222,-0.00457,0.0,0.65,8.25,0.092222,15.077778,2.202828,24.624573,95.352105,0.313581
14,ok,continuation_candidate,5,below,0.618,4h,29,0.056479,0.01114,30.103448,0.04209,0.0,0.6207,8.344828,0.097931,14.724138,2.806759,6.30747,18.510096,0.347062
15,ok,continuation_candidate,5,above,0.236,4h,24,0.056001,0.01246,29.291667,-0.036057,0.0,0.75,7.458333,0.079167,14.041667,1.755569,43.959535,98.681884,0.349162
16,ok,continuation_candidate,5,below,1,4h,28,0.055727,0.014012,32.571429,0.039765,0.0,0.8929,9.285714,0.102143,15.607143,2.258441,9.396916,47.743607,0.426298
17,ok,continuation_candidate,5,cross,0.618,4h,264,0.051045,0.015927,37.060606,0.00048,0.0,0.2462,6.462121,0.073258,15.814394,1.992828,20.281696,84.987542,0.497965
18,ok,continuation_candidate,5,below,0.236,4h,39,0.050629,0.012681,30.717949,0.035418,0.0,0.6923,6.666667,0.067692,13.820513,2.107766,7.824015,21.838726,0.476939
19,ok,continuation_candidate,5,cross,1,4h,248,0.050418,0.018311,36.830645,0.002485,0.0,0.2742,6.717742,0.07621,16.375,2.274111,9.631142,188.10777,0.539324
20,ok,continuation_candidate,5,below,0.382,4h,37,0.0503,0.013375,36.027027,0.037677,0.0,0.5135,7.864865,0.088108,15.297297,2.002437,23.087157,43.529872,0.350943
21,ok,continuation_candidate,5,cross,0.786,4h,263,0.049119,0.016384,36.429658,-0.001152,0.0,0.2624,6.403042,0.071793,15.81749,2.050228,21.268394,110.764352,0.552276
22,ok,continuation_candidate,5,cross,0.382,4h,284,0.04879,0.017063,36.40493,0.002176,0.0,0.2676,6.623239,0.074437,16.461268,2.006217,17.670291,184.582257,0.550058
23,ok,continuation_candidate,5,cross,0.236,4h,298,0.048518,0.016451,35.506711,0.002779,0.0,0.2819,6.832215,0.077368,15.711409,2.21616,13.006731,82.942057,0.527301
24,ok,continuation_candidate,5,cross,0.5,4h,259,0.048334,0.016384,36.814672,0.002416,0.0,0.2394,6.725869,0.072819,15.926641,2.127232,19.441319,111.293793,0.541577
1,ok,continuation_candidate,10,above,0.5,4h,26,0.105726,0.011432,42.653846,-0.064659,0.0769,0.7308,7.846154,0.103846,14.269231,2.365201,8.958033,40.46675,0.502523
2,ok,continuation_candidate,10,above,0.382,4h,31,0.100899,0.023839,33.129032,-0.052752,0.2258,0.7419,9.548387,0.121613,13.774194,1.893544,12.455441,61.148597,0.379379
3,ok,continuation_candidate,10,above,1,4h,27,0.095241,0.013536,33.592593,-0.045975,0.2222,0.8519,8.777778,0.098853,12.148148,1.9333,9.817916,479.836852,0.411426
4,ok,continuation_candidate,10,below,0.786,4h,24,0.095026,0.013893,37.291667,0.057419,0.125,0.5833,6.375,0.063333,14.916667,2.918251,5.926184,222.880547,0.411308
5,ok,continuation_candidate,10,above,0.786,4h,25,0.090159,0.013402,36.56,-0.057449,0.24,0.72,9.08,0.112,13.68,2.063199,9.562032,167.851512,0.561676
6,ok,continuation_candidate,10,touch,0.786,4h,164,0.088795,0.019328,33.603659,-0.002404,0.25,0.6707,7.981707,0.088042,15.292683,2.409821,20.809966,133.663248,0.342746
7,ok,continuation_candidate,10,touch,0.5,4h,178,0.08588,0.018046,35.325843,-0.004476,0.2191,0.6517,7.516854,0.086073,15.348315,2.347063,11.901559,72.97107,0.306211
8,ok,continuation_candidate,10,touch,0.382,4h,177,0.082617,0.017442,36.163842,0.001534,0.1808,0.678,8.570621,0.092881,15.163842,2.419581,15.675772,97.162153,0.301557
