time,ratio,level_price,relation,open,high,low,close
2013-03-31T00:00:00+00:00,0.236,348.35792,below,92.5,93.74999,91.0,93.033
2013-03-31T00:00:00+00:00,0.382,378.10104,below,92.5,93.74999,91.0,93.033
2013-03-31T00:00:00+00:00,0.5,402.14,below,92.5,93.74999,91.0,93.033
2013-03-31T00:00:00+00:00,0.618,426.17896,below,92.5,93.74999,91.0,93.033
2013-03-31T00:00:00+00:00,0.786,460.40392,below,92.5,93.74999,91.0,93.033
2013-03-31T00:00:00+00:00,1.0,504.0,below,92.5,93.74999,91.0,93.033
2013-04-01T00:00:00+00:00,0.236,348.35792,below,93.25,105.9,92.49999,103.999
2013-04-01T00:00:00+00:00,0.382,378.10104,below,93.25,105.9,92.49999,103.999
2013-04-01T00:00:00+00:00,0.5,402.14,below,93.25,105.9,92.49999,103.999
2013-04-01T00:00:00+00:00,0.618,426.17896,below,93.25,105.9,92.49999,103.999
2013-04-01T00:00:00+00:00,0.786,460.40392,below,93.25,105.9,92.49999,103.999
2013-04-01T00:00:00+00:00,1.0,504.0,below,93.25,105.9,92.49999,103.999
2013-04-02T00:00:00+00:00,0.236,348.35792,below,104.0,118.3867,99.0,118.22935407
2013-04-02T00:00:00+00:00,0.382,378.10104,below,104.0,118.3867,99.0,118.22935407
2013-04-02T00:00:00+00:00,0.5,402.14,below,104.0,118.3867,99.0,118.22935407
2013-04-02T00:00:00+00:00,0.618,426.17896,below,104.0,118.3867,99.0,118.22935407
2013-04-02T00:00:00+00:00,0.786,460.40392,below,104.0,118.3867,99.0,118.22935407
2013-04-02T00:00:00+00:00,1.0,504.0,below,104.0,118.3867,99.0,118.22935407
2013-04-03T00:00:00+00:00,0.236,348.35792,below,117.95826131,146.88,101.51088,134.7
2013-04-03T00:00:00+00:00,0.382,378.10104,below,117.95826131,146.88,101.51088,134.7
2013-04-03T00:00:00+00:00,0.5,402.14,below,117.95826131,146.88,101.51088,134.7
2013-04-03T00:00:00+00:00,0.618,426.17896,below,117.95826131,146.88,101.51088,134.7
2013-04-03T00:00:00+00:00,0.786,460.40392,below,117.95826131,146.88,101.51088,134.7
2013-04-03T00:00:00+00:00,1.0,504.0,below,117.95826131,146.88,101.51088,134.7
2013-04-04T00:00:00+00:00,0.236,348.35792,below,134.71656,143.0,119.0,132.899
2013-04-04T00:00:00+00:00,0.382,378.10104,below,134.71656,143.0,119.0,132.899
2013-04-04T00:00:00+00:00,0.5,402.14,below,134.71656,143.0,119.0,132.899
2013-04-04T00:00:00+00:00,0.618,426.17896,below,134.71656,143.0,119.0,132.899
2013-04-04T00:00:00+00:00,0.786,460.40392,below,134.71656,143.0,119.0,132.899
2013-04-04T00:00:00+00:00,1.0,504.0,below,134.71656,143.0,119.0,132.899
2013-04-05T00:00:00+00:00,0.236,348.35792,below,130.10001,145.0,128.25,142.3
2013-04-05T00:00:00+00:00,0.382,378.10104,below,130.10001,145.0,128.25,142.3
2013-04-05T00:00:00+00:00,0.5,402.14,below,130.10001,145.0,128.25,142.3
2013-04-05T00:00:00+00:00,0.618,426.17896,below,130.10001,145.0,128.25,142.3
2013-04-05T00:00:00+00:00,0.786,460.40392,below,130.10001,145.0,128.25,142.3
2013-04-05T00:00:00+00:00,1.0,504.0,below,130.10001,145.0,128.25,142.3
2013-04-06T00:00:00+00:00,0.236,348.35792,below,142.8,144.0,139.0,143.05
2013-04-06T00:00:00+00:00,0.382,378.10104,below,142.8,144.0,139.0,143.05
2013-04-06T00:00:00+00:00,0.5,402.14,below,142.8,144.0,139.0,143.05
2013-04-06T00:00:00+00:00,0.618,426.17896,below,142.8,144.0,139.0,143.05
2013-04-06T00:00:00+00:00,0.786,460.40392,below,142.8,144.0,139.0,143.05
2013-04-06T00:00:00+00:00,1.0,504.0,below,142.8,144.0,139.0,143.05
2013-04-07T00:00:00+00:00,0.236,348.35792,below,143.5,164.75,142.75,162.304
2013-04-07T00:00:00+00:00,0.382,378.10104,below,143.5,164.75,142.75,162.304
2013-04-07T00:00:00+00:00,0.5,402.14,below,143.5,164.75,142.75,162.304
2013-04-07T00:00:00+00:00,0.618,426.17896,below,143.5,164.75,142.75,162.304
2013-04-07T00:00:00+00:00,0.786,460.40392,below,143.5,164.75,142.75,162.304
2013-04-07T00:00:00+00:00,1.0,504.0,below,143.5,164.75,142.75,162.304
2013-04-08T00:00:00+00:00,0.236,348.35792,below,163.9,194.57,163.2,186.985
2013-04-08T00:00:00+00:00,0.382,378.10104,below,163.9,194.57,163.2,186.985
2013-04-08T00:00:00+00:00,0.5,402.14,below,163.9,194.57,163.2,186.985
2013-04-08T00:00:00+00:00,0.618,426.17896,below,163.9,194.57,163.2,186.985
2013-04-08T00:00:00+00:00,0.786,460.40392,below,163.9,194.57,163.2,186.985
2013-04-08T00:00:00+00:00,1.0,504.0,below,163.9,194.57,163.2,186.985
2013-04-09T00:00:00+00:00,0.236,348.35792,below,186.8,249.97,186.8,232.99
2013-04-09T00:00:00+00:00,0.382,378.10104,below,186.8,249.97,186.8,232.99
2013-04-09T00:00:00+00:00,0.5,402.14,below,186.8,249.97,186.8,232.99
2013-04-09T00:00:00+00:00,0.618,426.17896,below,186.8,249.97,186.8,232.99
2013-04-09T00:00:00+00:00,0.786,460.40392,below,186.8,249.97,186.8,232.99
2013-04-09T00:00:00+00:00,1.0,504.0,below,186.8,249.97,186.8,232.99
2013-04-10T00:00:00+00:00,0.236,348.35792,below,228.669,290.0,19.9,162.0
2013-04-10T00:00:00+00:00,0.382,378.10104,below,228.669,290.0,19.9,162.0
2013-04-10T00:00:00+00:00,0.5,402.14,below,228.669,290.0,19.9,162.0
