timestamp,open,high,low,close,volume
2022-11-03 00:00:00+00:00,24.248,24.249,11.57,13.983,557784.1844776
2022-11-10 00:00:00+00:00,14.293,14.605,13.626,14.258,141837.78125887
2022-11-17 00:00:00+00:00,12.462,14.66,12.403,14.358,584072.28117518
2022-11-24 00:00:00+00:00,13.352,14.335,13.229,14.183,110011.40857299
2022-12-01 00:00:00+00:00,14.326,14.345,13.43,13.5,35356.795011789996
2022-12-08 00:00:00+00:00,13.897,14.952,13.822,14.129,113906.66466103
2022-12-15 00:00:00+00:00,12.261,12.29,11.911,12.157,27314.23515473
2022-12-22 00:00:00+00:00,11.111,11.111,9.41,9.7586,386557.19387879
2022-12-29 00:00:00+00:00,13.372,14.48,12.853,13.445,583196.23871305
2023-01-05 00:00:00+00:00,16.174,16.604,15.31,16.379,196446.56866353
2023-01-12 00:00:00+00:00,22.879,23.65,20.341,20.844,266660.47715831
2023-01-19 00:00:00+00:00,22.788,25.405,22.233,24.501,87812.60924203
2023-01-26 00:00:00+00:00,23.935,25.206,22.489,24.979,72041.66531846
2023-02-02 00:00:00+00:00,23.885,24.231,22.823,23.173,21079.13474045
2023-02-09 00:00:00+00:00,21.878,23.969,21.464,23.87,60786.11877718
2023-02-16 00:00:00+00:00,24.96,25.243,23.245,24.15,104731.40168368
2023-02-23 00:00:00+00:00,21.913,22.909,21.652,22.542,20826.37071368
2023-03-02 00:00:00+00:00,20.272,20.388,18.121,18.427,48865.81810992
2023-03-09 00:00:00+00:00,20.909,21.492,18.788,19.275,102917.31014472
2023-03-16 00:00:00+00:00,22.536,23.096,20.943,21.418,50082.99686251
2023-03-23 00:00:00+00:00,20.464,21.556,20.453,21.1,18752.24360845
2023-03-30 00:00:00+00:00,20.936,21.339,20.579,20.957,17834.01298159
2023-04-06 00:00:00+00:00,23.002,24.48,22.327,23.768,85351.87380785
2023-04-13 00:00:00+00:00,24.778,24.982,21.452,22.713,118254.12435459
2023-04-20 00:00:00+00:00,21.953,22.967,20.37,21.279,68144.73852514
2023-04-27 00:00:00+00:00,22.258,22.311,21.267,22.22,37141.04111856
2023-05-04 00:00:00+00:00,20.653,21.337,19.877,20.934,38468.18212526
2023-05-11 00:00:00+00:00,20.689,21.223,20.442,21.069,13053.82351907
2023-05-18 00:00:00+00:00,20.034,20.079,18.702,19.217,23583.07110666
2023-05-25 00:00:00+00:00,21.292,21.345,20.39,20.827,13826.04487195
2023-06-01 00:00:00+00:00,20.344,20.518,18.54,18.652,39806.90644046
2023-06-08 00:00:00+00:00,15.046,15.378,14.062,14.488,43298.67587333
2023-06-15 00:00:00+00:00,16.657,17.389,16.578,17.243,58254.70717185
2023-06-22 00:00:00+00:00,16.594,16.647,15.614,15.975,63360.15786634
2023-06-29 00:00:00+00:00,19.183,19.383,18.368,19.001,20687.26368248
2023-07-06 00:00:00+00:00,22.091,22.921,21.765,21.962,55170.25824153
2023-07-13 00:00:00+00:00,25.535,27.0,25.391,26.407,23056.44072953
2023-07-20 00:00:00+00:00,23.33,25.7,23.215,25.204,63438.80870834
2023-07-27 00:00:00+00:00,24.13,24.26,22.85,23.163,21562.25889289
2023-08-03 00:00:00+00:00,24.242,25.019,24.113,24.413,18755.32717811
2023-08-10 00:00:00+00:00,23.931,24.005,22.373,22.824,51619.48284584
2023-08-17 00:00:00+00:00,20.56,21.844,20.399,21.763,21596.65841825
2023-08-24 00:00:00+00:00,21.859,22.004,20.612,20.835,26196.99770271
2023-08-31 00:00:00+00:00,20.27,20.38,19.168,19.644,44610.83984511
2023-09-07 00:00:00+00:00,17.954,18.611,17.724,18.408,48843.74561167
2023-09-14 00:00:00+00:00,20.123,20.534,19.819,20.311,8595.85232206
2023-09-21 00:00:00+00:00,19.081,19.499,18.745,19.151,10070.65349535
2023-09-28 00:00:00+00:00,23.625,23.835,22.596,23.15,24989.56163269
2023-10-05 00:00:00+00:00,22.166,22.417,21.639,22.028,8709.33036575
2023-10-12 00:00:00+00:00,23.933,24.424,23.374,23.428,5384.51909712
2023-10-19 00:00:00+00:00,30.2,33.92,30.058,32.472,80121.47168176
2023-10-26 00:00:00+00:00,38.433,46.776,37.863,41.152,129561.83433069
2023-11-02 00:00:00+00:00,42.966,43.901,42.279,43.128,48662.3003353
2023-11-09 00:00:00+00:00,56.83,67.092,56.174,65.518,101559.7870908
2023-11-16 00:00:00+00:00,51.641,58.875,51.396,57.544,30928.04976131
2023-11-23 00:00:00+00:00,58.245,61.753,57.726,59.293,100389.34787836
2023-11-30 00:00:00+00:00,61.148,66.56,61.101,61.91,54771.39879084
2023-12-07 00:00:00+00:00,68.502,72.704,63.737,70.686,45309.2948703
2023-12-14 00:00:00+00:00,73.112,84.142,73.087,82.29,62495.43843667
2023-12-21 00:00:00+00:00,112.71,115.42,104.83,106.86,34563.09668653
2023-12-28 00:00:00+00:00,106.81,110.0,85.0,98.726,74586.82040802
2024-01-04 00:00:00+00:00,99.348,105.37,92.2,102.16,51753.12080062
2024-01-11 00:00:00+00:00,97.822,102.86,96.672,102.18,16813.41648613
2024-01-18 00:00:00+00:00,84.5,89.467,83.376,88.932,15496.19646656
2024-01-25 00:00:00+00:00,101.6,102.72,96.0,96.963,24857.79945966
2024-02-01 00:00:00+00:00,96.891,101.5,94.624,100.75,8439.0793324
2024-02-08 00:00:00+00:00,112.46,118.72,110.86,116.74,22334.49317426
2024-02-15 00:00:00+00:00,108.02,108.22,100.22,105.06,12534.83387811
2024-02-22 00:00:00+00:00,108.45,118.96,105.0,118.96,58412.09200776
2024-02-29 00:00:00+00:00,125.89,134.99,120.12,130.85,45834.58500528
2024-03-07 00:00:00+00:00,150.86,166.45,148.73,163.59,42794.0377153
2024-03-14 00:00:00+00:00,170.03,193.35,160.67,191.95,53275.55367208
2024-03-21 00:00:00+00:00,190.42,192.59,180.27,186.31,20232.809561
2024-03-28 00:00:00+00:00,181.56,191.78,177.2,185.09,9661.35998064
2024-04-04 00:00:00+00:00,172.36,175.67,162.43,173.37,12953.0569261
2024-04-11 00:00:00+00:00,136.25,142.76,127.25,132.14,23266.62807364
2024-04-18 00:00:00+00:00,155.02,159.83,145.85,148.03,17521.47465445
2024-04-25 00:00:00+00:00,127.04,136.06,119.0,134.88,63749.34043841
2024-05-02 00:00:00+00:00,148.75,150.09,140.34,142.49,16156.65763125
2024-05-09 00:00:00+00:00,142.41,159.0,141.41,158.77,14132.86815828
2024-05-16 00:00:00+00:00,178.33,183.48,175.18,177.1,29702.46473618
2024-05-23 00:00:00+00:00,169.0,174.19,167.47,168.56,7303.3124131
2024-05-30 00:00:00+00:00,171.88,175.58,171.24,173.67,13553.21187774
2024-06-06 00:00:00+00:00,149.42,161.86,145.65,155.23,16960.7905055
2024-06-13 00:00:00+00:00,137.05,142.01,134.71,135.85,8986.54597315
2024-06-20 00:00:00+00:00,136.83,140.48,134.99,136.7,8495.05036197
2024-06-27 00:00:00+00:00,154.3,154.58,139.34,141.15,8403.51469869
2024-07-04 00:00:00+00:00,141.61,146.54,139.08,142.35,6072.06268808
2024-07-11 00:00:00+00:00,160.84,163.87,155.0,155.83,12619.22773303
2024-07-18 00:00:00+00:00,173.45,182.8,171.51,178.14,26798.44061676
