auto_candidate,relation,fib_level,timeframe,horizon,n_events,mean_forward_return,mean_mfe,mean_mae,rate_close_on_approach_side,rate_crossed_back,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_remained_near_level_rate
continuation_candidate,above,0.236,4h,10,2,-0.006262,0.022034,0.015801,0.5,1.0,14,1.926694,4.640054,692.036,0.422861,30,5.5,0.06
continuation_candidate,above,0.236,4h,20,2,-0.019791,0.040043,0.015801,0.5,1.0,14,1.926694,4.640054,692.036,0.422861,30,5.5,0.06
continuation_candidate,above,0.236,4h,5,2,-0.010277,0.014839,0.013129,0.0,1.0,14,1.926694,4.640054,692.036,0.422861,30,5.5,0.06
continuation_candidate,above,0.236,4h,50,2,-0.033363,0.086571,0.040535,0.5,1.0,14,1.926694,4.640054,692.036,0.422861,30,5.5,0.06
continuation_candidate,above,0.382,4h,10,1,-0.086124,0.087236,0.000799,0.0,0.0,20,2.954198,2.238434,1409.294,0.5517,20,1,0.05
continuation_candidate,above,0.382,4h,20,1,-0.116529,0.128694,0.000799,0.0,0.0,20,2.954198,2.238434,1409.294,0.5517,20,1,0.05
continuation_candidate,above,0.382,4h,5,1,-0.061552,0.06747,0.000799,0.0,0.0,20,2.954198,2.238434,1409.294,0.5517,20,1,0.05
continuation_candidate,above,0.382,4h,50,1,-0.116529,0.128694,0.000799,0.0,0.0,20,2.954198,2.238434,1409.294,0.5517,20,1,0.05
continuation_candidate,above,1,4h,10,1,-0.041063,0.052485,0.00346,0.0,1.0,5,1.044178,5.944024,347.0,0.423358,29,5,0.129032
continuation_candidate,above,1,4h,20,1,-0.116202,0.119311,0.00346,0.0,1.0,5,1.044178,5.944024,347.0,0.423358,29,5,0.129032
continuation_candidate,above,1,4h,5,1,-0.015679,0.017166,0.00346,0.0,1.0,5,1.044178,5.944024,347.0,0.423358,29,5,0.129032
continuation_candidate,above,1,4h,50,1,-0.162659,0.174189,0.00346,0.0,1.0,5,1.044178,5.944024,347.0,0.423358,29,5,0.129032
continuation_candidate,cross,0.236,4h,10,5,-0.004907,0.036492,0.009668,0.2,0.4,11.6,2.212445,12.585928,960.108,0.681775,21.6,4.4,0.044
continuation_candidate,cross,0.236,4h,20,5,-0.019503,0.038428,0.015508,0.6,0.6,11.6,2.212445,12.585928,960.108,0.681775,21.6,4.4,0.044
continuation_candidate,cross,0.236,4h,5,5,-0.002548,0.019874,0.005545,0.0,0.2,11.6,2.212445,12.585928,960.108,0.681775,21.6,4.4,0.044
continuation_candidate,cross,0.236,4h,50,5,-0.030757,0.042487,0.038069,0.6,0.8,11.6,2.212445,12.585928,960.108,0.681775,21.6,4.4,0.044
continuation_candidate,cross,0.382,4h,10,6,0.003647,0.016235,0.014175,0.1667,0.5,13.666667,0.782858,22.818171,1338.372667,0.811415,37.333333,6.666667,0.07
continuation_candidate,cross,0.382,4h,20,6,-0.006926,0.024995,0.024547,0.1667,0.6667,13.666667,0.782858,22.818171,1338.372667,0.811415,37.333333,6.666667,0.07
continuation_candidate,cross,0.382,4h,5,6,0.001008,0.01517,0.008627,0.0,0.1667,13.666667,0.782858,22.818171,1338.372667,0.811415,37.333333,6.666667,0.07
