rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,above,0.382,4h,1,0.06747,0.000799,20,-0.061552,0.0,0.0,1,0.05,20,2.954198,2.238434,1409.294,0.5517
2,LOW SAMPLE,continuation_candidate,5,touch,1,4h,4,0.038653,0.001979,33.75,-0.026017,0.0,0.5,3,0.035,20,1.882917,6.805025,1024.25,0.345406
3,LOW SAMPLE,continuation_candidate,5,touch,0.618,4h,3,0.033047,0.003671,32,-0.028501,0.0,1.0,3.666667,0.045604,15.666667,1.977436,4.521988,790.164667,0.47347
4,ok,continuation_candidate,5,touch,0.5,4h,6,0.029615,0.005862,41.5,-0.018409,0.0,0.5,2.5,0.034603,13.666667,1.453883,13.42917,1037.25,0.295347
5,LOW SAMPLE,continuation_candidate,5,touch,0.786,4h,3,0.028123,0.00783,44,-0.020017,0.0,0.6667,4.666667,0.053333,15,1.209848,12.267514,977.736667,0.274753
6,ok,continuation_candidate,5,touch,0.236,4h,5,0.025905,0.005,39.2,0.004455,0.0,1.0,11,0.128,11,2.014435,5.250977,756.912,0.255071
7,LOW SAMPLE,continuation_candidate,5,touch,0.382,4h,4,0.025308,0.00493,44.5,-0.011367,0.0,1.0,8.25,0.085,13.75,1.70898,7.467525,822.369,0.409394
8,LOW SAMPLE,continuation_candidate,5,cross,1,4h,2,0.023483,0.006851,45.5,0.016054,0.0,0.0,8.5,0.13,15,1.482666,16.400791,990.5,0.560601
9,ok,continuation_candidate,5,cross,0.786,4h,6,0.022333,0.00691,26.666667,-0.003873,0.0,0.3333,4,0.053611,12.5,1.503154,5.599623,1079.729,0.516922
10,ok,continuation_candidate,5,cross,0.236,4h,5,0.019874,0.005545,21.6,-0.002548,0.0,0.2,4.4,0.044,11.6,2.212445,12.585928,960.108,0.681775
11,LOW SAMPLE,continuation_candidate,5,cross,0.618,4h,3,0.019472,0.006836,32.333333,-0.002241,0.0,0.0,8.666667,0.126667,15.333333,1.312587,18.95861,1207.235333,0.38704
12,LOW SAMPLE,continuation_candidate,5,above,1,4h,1,0.017166,0.00346,29,-0.015679,0.0,1.0,5,0.129032,5,1.044178,5.944024,347.0,0.423358
13,ok,continuation_candidate,5,cross,0.382,4h,6,0.01517,0.008627,37.333333,0.001008,0.0,0.1667,6.666667,0.07,13.666667,0.782858,22.818171,1338.372667,0.811415
