timestamp,open,high,low,close,volume
2023-09-10 00:00:00+00:00,19.404,19.425,17.802,18.231,30381.84451683
2023-09-11 00:00:00+00:00,18.29,18.474,17.366,17.75,30907.15623007
2023-09-12 00:00:00+00:00,17.741,18.806,17.577,17.922,37984.069120449996
2023-09-13 00:00:00+00:00,17.954,18.611,17.724,18.408,48843.74561167
2023-09-14 00:00:00+00:00,18.435,19.348,18.435,18.862,17110.27063805
2023-09-15 00:00:00+00:00,18.867,19.523,18.577,19.154,12988.63490422
2023-09-16 00:00:00+00:00,19.18,19.473,18.896,19.135,4831.30458492
2023-09-17 00:00:00+00:00,19.065,19.123,18.651,18.849,5260.66393474
2023-09-18 00:00:00+00:00,18.81,20.15,18.617,19.684,14996.77156864
2023-09-19 00:00:00+00:00,19.66,20.422,19.592,20.05,32843.38501545
2023-09-20 00:00:00+00:00,20.123,20.534,19.819,20.311,8595.85232206
2023-09-21 00:00:00+00:00,20.261,20.263,19.316,19.479,6215.84698877
2023-09-22 00:00:00+00:00,19.469,19.785,19.197,19.45,5995.41621375
2023-09-23 00:00:00+00:00,19.441,19.593,19.302,19.506,10011.39197087
2023-09-24 00:00:00+00:00,19.516,19.701,19.215,19.376,7764.94292374
2023-09-25 00:00:00+00:00,19.372,19.794,19.18,19.424,9454.41212412
2023-09-26 00:00:00+00:00,19.404,19.544,18.852,19.046,10721.22846175
2023-09-27 00:00:00+00:00,19.081,19.499,18.745,19.151,10070.65349535
2023-09-28 00:00:00+00:00,19.141,20.005,19.121,19.974,9530.74132732
2023-09-29 00:00:00+00:00,19.983,20.463,19.88,20.295,10042.63588728
2023-09-30 00:00:00+00:00,20.304,21.827,20.09,21.38,40283.29124139
2023-10-01 00:00:00+00:00,21.339,24.506,21.177,23.901,51127.29902001
2023-10-02 00:00:00+00:00,23.972,24.798,22.953,23.406,40514.93102693
2023-10-03 00:00:00+00:00,23.46,24.808,23.19,23.616,25009.95755787
2023-10-04 00:00:00+00:00,23.625,23.835,22.596,23.15,24989.56163269
2023-10-05 00:00:00+00:00,23.132,23.76,22.524,22.697,9854.63149165
2023-10-06 00:00:00+00:00,22.745,23.769,22.701,23.427,9608.49686044
2023-10-07 00:00:00+00:00,23.443,24.226,23.1,23.31,10775.89633961
2023-10-08 00:00:00+00:00,23.295,23.636,23.062,23.247,4852.61348789
2023-10-09 00:00:00+00:00,23.223,23.377,21.637,22.15,25961.12826754
2023-10-10 00:00:00+00:00,22.092,22.492,21.711,22.127,16193.44256448
2023-10-11 00:00:00+00:00,22.166,22.417,21.639,22.028,8709.33036575
2023-10-12 00:00:00+00:00,22.02,22.03,20.965,21.33,16825.38123852
2023-10-13 00:00:00+00:00,21.304,22.236,21.15,21.864,18781.1807434
2023-10-14 00:00:00+00:00,21.864,22.328,21.811,22.025,22045.70475851
2023-10-15 00:00:00+00:00,22.009,22.219,21.686,21.933,37844.98605838
2023-10-16 00:00:00+00:00,21.94,24.898,21.915,23.991,49938.46880246
2023-10-17 00:00:00+00:00,24.001,24.563,23.467,23.945,26751.66770292
2023-10-18 00:00:00+00:00,23.933,24.424,23.374,23.428,5384.51909712
2023-10-19 00:00:00+00:00,23.399,25.785,23.145,24.969,43359.59298977
2023-10-20 00:00:00+00:00,25.023,27.553,24.77,27.052,73080.92787903
2023-10-21 00:00:00+00:00,27.088,30.35,26.668,29.379,71442.02660708
2023-10-22 00:00:00+00:00,29.293,30.021,28.099,29.069,35599.00538805
2023-10-23 00:00:00+00:00,29.066,32.819,28.782,31.931,157797.5255201
2023-10-24 00:00:00+00:00,31.938,32.608,29.553,30.2,62176.65151486
2023-10-25 00:00:00+00:00,30.2,33.92,30.058,32.472,80121.47168176
2023-10-26 00:00:00+00:00,32.48,33.281,30.721,32.811,41512.73995181
2023-10-27 00:00:00+00:00,32.808,33.372,31.25,31.744,38271.48868432
2023-10-28 00:00:00+00:00,31.733,32.561,31.388,31.647,14384.52631972
2023-10-29 00:00:00+00:00,31.652,33.208,31.314,32.834,33225.27281585
2023-10-30 00:00:00+00:00,32.915,35.352,32.36,34.954,70755.53901558
2023-10-31 00:00:00+00:00,34.978,38.65,34.854,38.435,69473.35547827
2023-11-01 00:00:00+00:00,38.433,46.776,37.863,41.152,129561.83433069
2023-11-02 00:00:00+00:00,41.173,44.569,38.708,40.237,123093.88874154
2023-11-03 00:00:00+00:00,40.158,40.227,38.033,39.529,98784.1701184
2023-11-04 00:00:00+00:00,39.487,42.734,39.05,42.476,64369.69967669
2023-11-05 00:00:00+00:00,42.476,42.89,40.162,41.208,37930.11781667
