auto_candidate,relation,fib_level,timeframe,horizon,n_events,mean_forward_return,mean_mfe,mean_mae,rate_close_on_approach_side,rate_crossed_back,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_remained_near_level_rate
continuation_candidate,above,0.236,1d,10,5,-0.152033,0.280922,0.034121,0.2,1.0,17.4,2.716248,12.087871,46.40282,0.449581,42.4,5.8,0.068
continuation_candidate,above,0.236,1d,20,5,-0.193434,0.328804,0.041672,0.0,1.0,17.4,2.716248,12.087871,46.40282,0.449581,42.4,5.8,0.068
continuation_candidate,above,0.236,1d,5,5,-0.118437,0.22383,0.032383,0.0,1.0,17.4,2.716248,12.087871,46.40282,0.449581,42.4,5.8,0.068
continuation_candidate,above,0.236,1d,50,5,-0.122212,0.449026,0.116335,0.2,1.0,17.4,2.716248,12.087871,46.40282,0.449581,42.4,5.8,0.068
continuation_candidate,above,0.382,1d,10,5,-0.160062,0.245677,0.017508,0.2,0.6,13.2,1.272199,6.048051,34.22712,0.469125,36.4,7.6,0.076
continuation_candidate,above,0.382,1d,20,5,-0.254485,0.335885,0.023338,0.0,0.6,13.2,1.272199,6.048051,34.22712,0.469125,36.4,7.6,0.076
continuation_candidate,above,0.382,1d,5,5,-0.126181,0.154099,0.016529,0.0,0.6,13.2,1.272199,6.048051,34.22712,0.469125,36.4,7.6,0.076
continuation_candidate,above,0.382,1d,50,5,-0.178687,0.433402,0.175253,0.4,0.8,13.2,1.272199,6.048051,34.22712,0.469125,36.4,7.6,0.076
continuation_candidate,above,0.5,1d,10,1,-0.041699,0.271694,0.02098,1.0,1.0,20,4.060219,2.382686,23.78,0.943095,21,17,0.32
continuation_candidate,above,0.5,1d,20,1,-0.067468,0.271694,0.10995,1.0,1.0,20,4.060219,2.382686,23.78,0.943095,21,17,0.32
continuation_candidate,above,0.5,1d,5,1,-0.193958,0.234395,0.02098,0.0,1.0,20,4.060219,2.382686,23.78,0.943095,21,17,0.32
continuation_candidate,above,0.5,1d,50,1,-0.107556,0.271694,0.10995,0.0,1.0,20,4.060219,2.382686,23.78,0.943095,21,17,0.32
continuation_candidate,above,0.618,1d,10,1,-0.159176,0.338495,0.007384,0.0,0.0,20,3.000736,2.562598,45.0459,0.491984,50,3,0.02
continuation_candidate,above,0.618,1d,20,1,-0.237282,0.338495,0.007384,0.0,0.0,20,3.000736,2.562598,45.0459,0.491984,50,3,0.02
continuation_candidate,above,0.618,1d,5,1,-0.157906,0.192737,0.007384,0.0,0.0,20,3.000736,2.562598,45.0459,0.491984,50,3,0.02
continuation_candidate,above,0.618,1d,50,1,-0.432957,0.557141,0.007384,0.0,0.0,20,3.000736,2.562598,45.0459,0.491984,50,3,0.02
continuation_candidate,above,0.786,1d,10,1,-0.216947,0.453585,0.003961,0.0,0.0,8,0.982056,9.740146,195.1908,0.364083,50,2,0.04
