rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
11,LOW SAMPLE,continuation_candidate,10,above,0.5,1d,1,0.271694,0.02098,21,-0.041699,1.0,1.0,17,0.32,20,4.060219,2.382686,23.78,0.943095
12,ok,continuation_candidate,10,touch,0.786,1d,28,0.271529,0.026308,38.214286,-0.042803,0.1429,0.7143,5.678571,0.065604,16.107143,2.248703,5.381677,130.108125,0.382146
13,LOW SAMPLE,continuation_candidate,10,below,0.786,1d,2,0.263833,0.125045,26,0.131278,0.5,1.0,5.5,0.03,20,2.428481,3.219796,29.3774,0.379997
14,ok,continuation_candidate,10,touch,0.382,1d,21,0.256543,0.030321,39.047619,-0.070221,0.1905,0.7143,5.904762,0.080401,14.619048,2.29408,6.576456,195.324205,0.240603
15,ok,continuation_candidate,10,touch,0.236,1d,33,0.253125,0.069837,32.909091,-0.035,0.2727,0.8182,7.787879,0.108062,10.575758,2.404289,14.277237,135.278367,0.334963
16,ok,continuation_candidate,10,above,0.382,1d,5,0.245677,0.017508,36.4,-0.160062,0.2,0.6,7.6,0.076,13.2,1.272199,6.048051,34.22712,0.469125
17,ok,continuation_candidate,10,cross,1,1d,42,0.237533,0.061004,40.190476,-0.011388,0.1429,0.3095,4.47619,0.0575,16.833333,2.246655,17.821486,96.335502,0.506527
18,ok,continuation_candidate,10,cross,0.786,1d,38,0.220322,0.059138,39.868421,-0.019871,0.0789,0.2895,6.421053,0.084211,17.447368,2.355098,26.825104,182.816895,0.47154
19,ok,continuation_candidate,10,cross,0.5,1d,43,0.218763,0.082449,40.55814,-0.042813,0.186,0.3953,4.604651,0.058605,13.395349,2.141801,22.113291,127.910351,0.657474
20,ok,continuation_candidate,10,cross,0.236,1d,43,0.213966,0.064641,38.976744,-0.071289,0.1628,0.4419,5.116279,0.077522,13.72093,2.099176,18.898766,100.846726,0.43843
21,ok,continuation_candidate,10,cross,0.382,1d,42,0.200975,0.085003,36.309524,-0.057823,0.1905,0.4048,5.047619,0.068571,12.785714,1.910982,22.571168,145.929057,0.694637
22,ok,continuation_candidate,10,cross,0.618,1d,41,0.19546,0.08782,39.707317,-0.064575,0.1463,0.5122,5.146341,0.06223,14.634146,2.281547,16.946287,89.122922,0.594527
23,LOW SAMPLE,continuation_candidate,10,below,0.382,1d,3,0.113877,0.10577,14,-0.013628,0.3333,1.0,5.333333,0.06,10.333333,3.408908,14.184033,25.426667,0.32047
1,LOW SAMPLE,continuation_candidate,20,below,1,1d,2,0.468013,0.03054,38,0.256375,0.0,1.0,4,0.03,20,3.234462,5.327698,37.915,0.366847
2,LOW SAMPLE,continuation_candidate,20,below,0.5,1d,3,0.463462,0.127944,34.333333,0.206827,0.3333,1.0,5,0.033333,20,1.974749,5.080693,26.658333,0.432076
3,LOW SAMPLE,continuation_candidate,20,above,0.786,1d,1,0.453585,0.003961,50,-0.190541,0.0,0.0,2,0.04,8,0.982056,9.740146,195.1908,0.364083
4,LOW SAMPLE,continuation_candidate,20,below,0.236,1d,3,0.429364,0.042269,40.333333,0.311756,0.0,1.0,10.666667,0.186667,18.333333,1.304105,8.780573,23.1605,0.301006
5,ok,continuation_candidate,20,touch,0.618,1d,25,0.399341,0.05509,36.08,0.041589,0.16,0.76,6.8,0.093,15.16,2.124264,12.538875,129.748716,0.347838
6,LOW SAMPLE,continuation_candidate,20,below,0.786,1d,2,0.387051,0.2251,26,0.139758,0.5,1.0,5.5,0.03,20,2.428481,3.219796,29.3774,0.379997
7,ok,continuation_candidate,20,touch,1,1d,18,0.379944,0.027858,42.277778,0.035831,0.0,0.5556,5.833333,0.068718,18.5,2.036743,36.9181,394.274389,0.349248
8,LOW SAMPLE,continuation_candidate,20,above,1,1d,4,0.374533,0.023022,42.75,-0.297223,0.0,0.75,5,0.065,16.75,2.389321,4.339217,51.75,0.648029
9,ok,continuation_candidate,20,touch,0.5,1d,14,0.351944,0.052264,36.5,-0.022669,0.0714,0.5714,6.071429,0.071042,13.428571,1.979898,8.116579,327.503214,0.334746
10,ok,continuation_candidate,20,touch,0.236,1d,33,0.35169,0.09231,32.909091,-0.041139,0.1818,0.8182,7.787879,0.108062,10.575758,2.404289,14.277237,135.278367,0.334963
11,ok,continuation_candidate,20,touch,0.786,1d,28,0.34867,0.030962,38.214286,-0.045268,0.0714,0.7143,5.678571,0.065604,16.107143,2.248703,5.381677,130.108125,0.382146
12,LOW SAMPLE,continuation_candidate,20,above,0.618,1d,1,0.338495,0.007384,50,-0.237282,0.0,0.0,3,0.02,20,3.000736,2.562598,45.0459,0.491984
13,ok,continuation_candidate,20,above,0.382,1d,5,0.335885,0.023338,36.4,-0.254485,0.0,0.6,7.6,0.076,13.2,1.272199,6.048051,34.22712,0.469125
14,ok,continuation_candidate,20,above,0.236,1d,5,0.328804,0.041672,42.4,-0.193434,0.0,1.0,5.8,0.068,17.4,2.716248,12.087871,46.40282,0.449581
15,ok,continuation_candidate,20,cross,1,1d,42,0.32654,0.098157,40.190476,-0.013622,0.0952,0.3333,4.47619,0.0575,16.833333,2.246655,17.821486,96.335502,0.506527
16,ok,continuation_candidate,20,touch,0.382,1d,21,0.314754,0.055989,39.047619,-0.075929,0.1429,0.7143,5.904762,0.080401,14.619048,2.29408,6.576456,195.324205,0.240603
17,ok,continuation_candidate,20,cross,0.5,1d,43,0.312513,0.123869,40.55814,-0.04315,0.1163,0.4419,4.604651,0.058605,13.395349,2.141801,22.113291,127.910351,0.657474
18,ok,continuation_candidate,20,cross,0.786,1d,38,0.30558,0.084568,39.868421,-0.033318,0.1053,0.4211,6.421053,0.084211,17.447368,2.355098,26.825104,182.816895,0.47154
19,LOW SAMPLE,continuation_candidate,20,above,0.5,1d,1,0.271694,0.10995,21,-0.067468,1.0,1.0,17,0.32,20,4.060219,2.382686,23.78,0.943095
20,ok,continuation_candidate,20,cross,0.236,1d,43,0.263428,0.095408,38.976744,-0.10521,0.186,0.5349,5.116279,0.077522,13.72093,2.099176,18.898766,100.846726,0.43843
21,ok,continuation_candidate,20,cross,0.618,1d,41,0.256664,0.125178,39.707317,-0.120065,0.1707,0.5122,5.146341,0.06223,14.634146,2.281547,16.946287,89.122922,0.594527
22,ok,continuation_candidate,20,cross,0.382,1d,42,0.247258,0.127175,36.309524,-0.081743,0.1905,0.4286,5.047619,0.068571,12.785714,1.910982,22.571168,145.929057,0.694637
23,LOW SAMPLE,continuation_candidate,20,below,0.382,1d,3,0.183364,0.274373,14,-0.163247,0.6667,1.0,5.333333,0.06,10.333333,3.408908,14.184033,25.426667,0.32047
1,LOW SAMPLE,continuation_candidate,50,below,1,1d,2,1.121253,0.112186,38,0.842107,0.5,1.0,4,0.03,20,3.234462,5.327698,37.915,0.366847
2,LOW SAMPLE,continuation_candidate,50,below,0.236,1d,3,0.988849,0.07525,40.333333,0.744276,0.0,1.0,10.666667,0.186667,18.333333,1.304105,8.780573,23.1605,0.301006
3,LOW SAMPLE,continuation_candidate,50,below,0.5,1d,3,0.898955,0.157855,34.333333,0.68021,0.0,1.0,5,0.033333,20,1.974749,5.080693,26.658333,0.432076
4,ok,continuation_candidate,50,touch,1,1d,18,0.809774,0.044507,42.277778,0.209146,0.0,0.6111,5.833333,0.068718,18.5,2.036743,36.9181,394.274389,0.349248
5,ok,continuation_candidate,50,touch,0.618,1d,25,0.780894,0.114279,36.08,0.27917,0.2,0.8,6.8,0.093,15.16,2.124264,12.538875,129.748716,0.347838
6,ok,continuation_candidate,50,touch,0.786,1d,28,0.743348,0.147635,38.214286,0.270065,0.25,0.7143,5.678571,0.065604,16.107143,2.248703,5.381677,130.108125,0.382146
7,ok,continuation_candidate,50,touch,0.5,1d,14,0.741266,0.12339,36.5,0.181494,0.1429,0.6429,6.071429,0.071042,13.428571,1.979898,8.116579,327.503214,0.334746
8,LOW SAMPLE,continuation_candidate,50,above,0.786,1d,1,0.562976,0.003961,50,-0.474541,0.0,0.0,2,0.04,8,0.982056,9.740146,195.1908,0.364083
9,LOW SAMPLE,continuation_candidate,50,above,0.618,1d,1,0.557141,0.007384,50,-0.432957,0.0,0.0,3,0.02,20,3.000736,2.562598,45.0459,0.491984
10,ok,continuation_candidate,50,cross,1,1d,42,0.511383,0.191708,40.190476,0.05997,0.2381,0.5238,4.47619,0.0575,16.833333,2.246655,17.821486,96.335502,0.506527
