rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,below,0.618,4h,2,0.103427,0.005876,41,0.05968,0.0,0.5,11,0.12,10,2.447211,5.757067,3.42994,0.533791
2,LOW SAMPLE,continuation_candidate,5,below,0.382,4h,3,0.077555,0.007066,41.666667,0.065517,0.0,0.6667,11.333333,0.16,8.333333,1.853056,22.547944,489.160373,0.628198
3,LOW SAMPLE,continuation_candidate,5,above,0.382,4h,4,0.061676,0.015677,16.5,-0.034391,0.0,0.75,8,0.1025,15.75,2.264212,4.265952,356.087655,0.441264
4,LOW SAMPLE,continuation_candidate,5,above,0.786,4h,2,0.061568,0.005986,32,-0.051506,0.0,0.5,7,0.04,13.5,2.009187,7.184599,716.82641,0.609007
5,LOW SAMPLE,continuation_candidate,5,above,0.618,4h,2,0.061531,0.006058,18.5,-0.05335,0.0,0.5,15,0.16,20,1.19036,9.25007,3.40767,0.269313
6,LOW SAMPLE,continuation_candidate,5,below,0.5,4h,4,0.051344,0.006915,37.5,0.029684,0.0,0.0,9,0.105,16,1.798667,6.729584,1172.987,0.436699
7,LOW SAMPLE,continuation_candidate,5,below,0.786,4h,1,0.049266,0.001108,49,0.032146,0.0,1.0,2,0.02,20,4.63917,2.48531,776.776,0.271337
8,ok,continuation_candidate,5,touch,0.786,4h,8,0.048028,0.005403,41,-0.00939,0.0,0.625,8.25,0.064853,14.25,2.106743,9.098462,796.174398,0.277178
9,ok,continuation_candidate,5,touch,0.618,4h,20,0.044574,0.009465,30.1,-0.007017,0.0,0.6,7.3,0.090841,14.5,2.035309,7.702164,277.204978,0.29437
10,ok,continuation_candidate,5,touch,0.236,4h,21,0.043344,0.007945,35.761905,0.007412,0.0,0.7143,8.809524,0.101905,12.714286,2.717521,5.257387,749.027257,0.32175
11,ok,continuation_candidate,5,touch,1,4h,12,0.043203,0.005281,32.666667,-0.027867,0.0,0.5833,7,0.085,15.583333,2.715188,13.300141,535.393333,0.424001
12,LOW SAMPLE,continuation_candidate,5,above,0.5,4h,4,0.042469,0.004552,38.5,-0.03713,0.0,0.75,11.75,0.19,8.5,1.99699,12.344541,189.7575,0.658591
13,LOW SAMPLE,continuation_candidate,5,above,0.236,4h,3,0.042284,0.008749,29,-0.03053,0.0,0.6667,6.666667,0.053333,14.666667,1.489754,8.115075,734.698667,0.409546
14,ok,continuation_candidate,5,touch,0.382,4h,16,0.042072,0.011203,32.875,-0.007621,0.0,0.8125,8.8125,0.1025,16,2.214676,10.177018,765.133059,0.285561
15,ok,continuation_candidate,5,cross,0.618,4h,18,0.040377,0.00865,31.277778,-0.006241,0.0,0.2222,8.5,0.112222,15.222222,2.099208,10.471547,469.417981,0.416938
16,ok,continuation_candidate,5,cross,0.5,4h,25,0.04001,0.010929,35,0.00129,0.0,0.24,8.52,0.104,14.12,1.833472,12.037587,787.53036,0.40616
17,ok,continuation_candidate,5,touch,0.5,4h,11,0.039311,0.008179,34.818182,-0.021245,0.0,0.4545,4.090909,0.081905,16.545455,2.318611,8.952169,844.980364,0.336684
18,ok,continuation_candidate,5,cross,0.786,4h,14,0.037083,0.012961,30.571429,0.001582,0.0,0.2857,7.5,0.071548,14.785714,2.270647,14.455725,965.854084,0.545096
19,LOW SAMPLE,continuation_candidate,5,below,0.236,4h,2,0.035967,0.011676,24.5,0.022388,0.0,1.0,9.5,0.06,15.5,1.994296,3.752851,269.09434,0.630567
20,ok,continuation_candidate,5,cross,0.382,4h,31,0.035688,0.011381,37.193548,0.006553,0.0,0.2581,6.741935,0.070968,14.258065,1.352762,25.163218,1288.683853,0.540974
21,LOW SAMPLE,continuation_candidate,5,below,1,4h,2,0.032177,0.005113,47,0.024542,0.0,1.0,5,0.07,20,1.204168,7.980544,536.02,0.364734
22,ok,continuation_candidate,5,cross,1,4h,12,0.029701,0.012795,36.833333,0.007999,0.0,0.3333,7.416667,0.083333,17.833333,2.18793,8.457066,572.9875,0.530384
23,ok,continuation_candidate,5,cross,0.236,4h,22,0.027648,0.009148,29.818182,-0.001271,0.0,0.2273,4.090909,0.042727,15.863636,1.979904,7.277147,742.384191,0.537112
24,LOW SAMPLE,continuation_candidate,5,above,1,4h,1,0.017166,0.00346,29,-0.015679,0.0,1.0,5,0.129032,5,1.044178,5.944024,347.0,0.423358
1,LOW SAMPLE,continuation_candidate,10,below,0.382,4h,3,0.132584,0.008799,41.666667,0.107866,0.0,0.6667,11.333333,0.16,8.333333,1.853056,22.547944,489.160373,0.628198
2,LOW SAMPLE,continuation_candidate,10,below,0.618,4h,2,0.103427,0.007735,41,0.03876,0.0,1.0,11,0.12,10,2.447211,5.757067,3.42994,0.533791
3,LOW SAMPLE,continuation_candidate,10,above,0.786,4h,2,0.084261,0.005986,32,-0.063959,0.0,0.5,7,0.04,13.5,2.009187,7.184599,716.82641,0.609007
4,LOW SAMPLE,continuation_candidate,10,above,0.382,4h,4,0.076336,0.015677,16.5,-0.041977,0.0,0.75,8,0.1025,15.75,2.264212,4.265952,356.087655,0.441264
5,LOW SAMPLE,continuation_candidate,10,above,0.618,4h,2,0.074668,0.031187,18.5,-0.00369,0.5,1.0,15,0.16,20,1.19036,9.25007,3.40767,0.269313
6,LOW SAMPLE,continuation_candidate,10,above,0.5,4h,4,0.071544,0.004552,38.5,-0.045188,0.0,0.75,11.75,0.19,8.5,1.99699,12.344541,189.7575,0.658591
