rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,cross,0.786,1d,3,0.113273,0.000473,5.666667,-0.098156,0.0,0.0,0,0.0,20,2.925674,3.040242,1860.546,0.260684
2,LOW SAMPLE,continuation_candidate,5,cross,0.5,1d,1,0.083991,0.01141,3,-0.064919,0.0,0.0,0,0.0,20,3.561662,2.219673,4105.5,1.6025
3,LOW SAMPLE,continuation_candidate,5,cross,1,1d,2,0.076297,0.005883,7.5,-0.067661,0.0,0.5,2,0.1875,20,2.394922,3.747225,1198.5,0.143103
4,LOW SAMPLE,continuation_candidate,5,touch,1,1d,3,0.070336,0.012232,21,-0.029575,0.0,1.0,3,0.038974,20,1.660323,6.791457,2133.666667,0.646889
5,LOW SAMPLE,continuation_candidate,5,cross,0.382,1d,2,0.067603,0.006316,6,-0.053208,0.0,0.0,0,0.0,20,2.773122,3.239632,2321.362,0.877964
6,LOW SAMPLE,continuation_candidate,5,touch,0.618,1d,2,0.063967,0.008594,13,-0.050658,0.0,0.5,3.5,0.2625,17.5,1.487499,27.228842,1148.249,0.057278
7,LOW SAMPLE,continuation_candidate,5,touch,0.786,1d,1,0.055588,0.017344,10,-0.041577,0.0,1.0,1,0.076923,20,1.42388,5.97947,2499.29,0.871438
8,LOW SAMPLE,continuation_candidate,5,touch,0.5,1d,2,0.046147,0.017777,15,-0.035019,0.0,0.5,2,0.077295,14.5,1.511801,5.847167,2068.75,0.111969
9,LOW SAMPLE,continuation_candidate,5,touch,0.236,1d,2,0.039628,0.009178,18.5,-0.026862,0.0,0.5,5.5,0.093023,2,3.198147,3.244115,1658.236,0.048584
10,LOW SAMPLE,continuation_candidate,5,touch,0.382,1d,2,0.037285,0.01492,19.5,-0.030977,0.0,1.0,6,0.18421,12,1.019464,15.400363,1630.875,0.192334
11,LOW SAMPLE,continuation_candidate,5,cross,0.618,1d,1,0.020107,0.034191,10,-0.013978,0.0,1.0,3,0.071429,20,0.548748,14.559964,1996.77,0.18369
12,LOW SAMPLE,continuation_candidate,5,cross,0.236,1d,2,0.018466,0.01869,23,-0.000731,0.0,0.5,5,0.076724,8,1.072024,27.757435,1288.29,0.229581
1,LOW SAMPLE,continuation_candidate,10,cross,1,1d,2,0.174872,0.005883,7.5,-0.157694,0.0,0.5,2,0.1875,20,2.394922,3.747225,1198.5,0.143103
2,LOW SAMPLE,continuation_candidate,10,cross,0.786,1d,3,0.156138,0.000473,5.666667,-0.138568,0.0,0.0,0,0.0,20,2.925674,3.040242,1860.546,0.260684
3,LOW SAMPLE,continuation_candidate,10,touch,0.786,1d,1,0.138742,0.017344,10,-0.131503,0.0,1.0,1,0.076923,20,1.42388,5.97947,2499.29,0.871438
4,LOW SAMPLE,continuation_candidate,10,touch,1,1d,3,0.136986,0.012232,21,-0.073019,0.0,1.0,3,0.038974,20,1.660323,6.791457,2133.666667,0.646889
