rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,ok,continuation_candidate,5,above,0.5,4h,22,0.072714,0.009691,43.409091,-0.049011,0.0,0.5909,7.136364,0.088182,15.318182,2.432149,8.342304,13.322977,0.474147
2,ok,continuation_candidate,5,above,1,4h,26,0.072443,0.012826,33.769231,-0.049,0.0,0.8077,8.923077,0.097692,12.423077,1.967497,9.966912,484.945962,0.410967
3,ok,continuation_candidate,5,touch,0.786,4h,156,0.067643,0.012242,33.224359,-0.001282,0.0,0.5449,7.967949,0.089231,15.346154,2.425364,21.410556,99.688318,0.346109
4,ok,continuation_candidate,5,below,0.786,4h,23,0.06484,0.008935,36.782609,0.051156,0.0,0.5217,6.565217,0.065217,14.695652,2.843428,6.075787,198.798136,0.417394
5,ok,continuation_candidate,5,touch,0.5,4h,167,0.064444,0.011431,35.359281,-0.002839,0.0,0.5449,7.742515,0.086347,15.269461,2.348937,12.09583,22.120159,0.304203
6,ok,continuation_candidate,5,above,0.382,4h,27,0.064355,0.017993,35.592593,-0.041929,0.0,0.6296,9.777778,0.124444,13.481481,1.838631,13.668699,17.453921,0.370211
7,ok,continuation_candidate,5,touch,0.618,4h,180,0.063408,0.012351,34.483333,0.00431,0.0,0.5722,8.694444,0.095444,14.822222,2.079576,14.434353,25.503432,0.307437
8,ok,continuation_candidate,5,touch,0.382,4h,161,0.063159,0.013187,36.490683,0.000805,0.0,0.5776,8.546584,0.091925,15.080745,2.439944,16.222232,30.779951,0.303147
9,ok,continuation_candidate,5,above,0.786,4h,23,0.062095,0.012277,36.956522,-0.04194,0.0,0.6957,9.26087,0.118261,13.695652,2.067896,9.768766,120.114564,0.557561
10,ok,continuation_candidate,5,below,0.5,4h,18,0.060622,0.014097,29,0.041657,0.0,0.6667,7.277778,0.061111,16.722222,1.907068,9.189971,13.85875,0.53701
11,ok,continuation_candidate,5,touch,1,4h,128,0.060604,0.014663,35.210938,0.000108,0.0,0.6094,8.59375,0.09809,15.773438,2.008815,18.788372,134.776875,0.332978
12,ok,continuation_candidate,5,above,0.618,4h,20,0.060221,0.013274,35.1,-0.04316,0.0,0.55,8.65,0.108,13.35,1.660405,10.946286,8.049799,0.370136
13,ok,continuation_candidate,5,touch,0.236,4h,159,0.059147,0.013498,34.924528,-0.006152,0.0,0.6415,8.176101,0.090943,15.389937,2.134849,27.182503,9.01765,0.312502
14,ok,continuation_candidate,5,above,0.236,4h,21,0.05796,0.012991,29.333333,-0.036847,0.0,0.7619,7.571429,0.082857,13.952381,1.793542,49.080172,7.822344,0.340536
15,ok,continuation_candidate,5,below,1,4h,26,0.057538,0.014697,31.461538,0.040936,0.0,0.8846,9.615385,0.104615,15.269231,2.339539,9.505868,10.183885,0.431034
16,ok,continuation_candidate,5,below,0.618,4h,27,0.053001,0.01153,29.296296,0.040787,0.0,0.6296,8.148148,0.096296,15.074074,2.833392,6.348241,19.627144,0.333231
17,ok,continuation_candidate,5,cross,0.618,4h,246,0.051826,0.016459,37.48374,0.000972,0.0,0.248,6.313008,0.070407,15.857724,1.985044,20.999511,56.858486,0.503894
18,ok,continuation_candidate,5,cross,1,4h,236,0.051472,0.018592,36.830508,0.002204,0.0,0.2712,6.682203,0.075847,16.300847,2.278494,9.690841,168.537614,0.539778
19,ok,continuation_candidate,5,below,0.236,4h,37,0.051422,0.012736,31.054054,0.036122,0.0,0.6757,6.513514,0.068108,13.72973,2.1139,8.044078,8.473557,0.468635
20,ok,continuation_candidate,5,cross,0.382,4h,253,0.050395,0.017759,36.3083,0.001639,0.0,0.2688,6.608696,0.074862,16.731225,2.086284,16.752186,49.297082,0.551171
21,ok,continuation_candidate,5,cross,0.236,4h,276,0.050182,0.017033,35.960145,0.003101,0.0,0.2862,7.050725,0.080129,15.699275,2.234992,13.463437,30.377829,0.526519
22,ok,continuation_candidate,5,cross,0.786,4h,249,0.049796,0.016576,36.759036,-0.001305,0.0,0.261,6.341365,0.071807,15.875502,2.037835,21.651435,62.687018,0.552679
