rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,touch,0.5,4h,1,0.0677,0.001579,21,-0.059863,0.0,0.0,1,0.047619,50,6.665397,2.72093,1158.5,0.85133
2,LOW SAMPLE,continuation_candidate,5,above,0.382,4h,1,0.06747,0.000799,20,-0.061552,0.0,0.0,1,0.05,50,7.237727,2.426081,1409.294,0.5517
3,LOW SAMPLE,continuation_candidate,5,touch,0.618,4h,1,0.062548,0.001746,21,-0.059502,0.0,1.0,3,0.043478,50,8.106474,2.483511,952.706,0.942384
4,LOW SAMPLE,continuation_candidate,5,touch,0.236,4h,1,0.060956,0.013133,98,0.038786,0.0,1.0,2,0.01,2,3.304099,6.749632,504.588,0.363242
5,LOW SAMPLE,continuation_candidate,5,cross,1,4h,1,0.037177,0.004269,100,0.027208,0.0,0.0,0,0.0,10,5.370614,4.211365,1115.0,0.58844
6,LOW SAMPLE,continuation_candidate,5,cross,0.236,4h,1,0.028655,0.012508,18,-0.004635,0.0,0.0,0,0.0,50,8.264491,2.013087,1805.588,1.635374
7,LOW SAMPLE,continuation_candidate,5,touch,1,4h,2,0.02611,0.002598,57.5,-0.009705,0.0,0.5,4.5,0.03,50,4.739493,3.885417,1004.0,0.194225
8,LOW SAMPLE,continuation_candidate,5,cross,0.786,4h,4,0.024479,0.006228,55.5,-0.000149,0.0,0.25,4.25,0.030417,19.5,4.943909,4.551839,1132.5,0.371007
9,LOW SAMPLE,continuation_candidate,5,cross,0.382,4h,1,0.01344,0.016793,100,-0.008097,0.0,0.0,0,0.0,6,1.297488,12.964158,3141.294,2.073463
10,LOW SAMPLE,continuation_candidate,5,cross,0.5,4h,1,0.01344,0.016793,100,-0.008097,0.0,0.0,0,0.0,50,1.297488,12.964158,2541.5,1.515596
11,LOW SAMPLE,continuation_candidate,5,cross,0.618,4h,1,0.01344,0.016793,98,-0.008097,0.0,0.0,12,0.1,50,1.297488,12.964158,1941.706,0.957728
1,LOW SAMPLE,continuation_candidate,10,cross,0.236,4h,1,0.089233,0.012508,18,-0.056523,0.0,0.0,0,0.0,50,8.264491,2.013087,1805.588,1.635374
2,LOW SAMPLE,continuation_candidate,10,above,0.382,4h,1,0.087236,0.000799,20,-0.086124,0.0,0.0,1,0.05,50,7.237727,2.426081,1409.294,0.5517
3,LOW SAMPLE,continuation_candidate,10,touch,0.618,4h,1,0.086452,0.001746,21,-0.063861,0.0,1.0,3,0.043478,50,8.106474,2.483511,952.706,0.942384
4,LOW SAMPLE,continuation_candidate,10,touch,0.5,4h,1,0.081598,0.001579,21,-0.078356,0.0,0.0,1,0.047619,50,6.665397,2.72093,1158.5,0.85133
5,LOW SAMPLE,continuation_candidate,10,touch,0.236,4h,1,0.061743,0.013133,98,0.035754,0.0,1.0,2,0.01,2,3.304099,6.749632,504.588,0.363242
6,LOW SAMPLE,continuation_candidate,10,touch,1,4h,2,0.055287,0.00997,57.5,-0.047349,0.5,0.5,4.5,0.03,50,4.739493,3.885417,1004.0,0.194225
7,LOW SAMPLE,continuation_candidate,10,cross,0.786,4h,4,0.04345,0.012183,55.5,0.000928,0.25,0.5,4.25,0.030417,19.5,4.943909,4.551839,1132.5,0.371007
8,LOW SAMPLE,continuation_candidate,10,cross,1,4h,1,0.037177,0.004269,100,0.01192,0.0,0.0,0,0.0,10,5.370614,4.211365,1115.0,0.58844
9,LOW SAMPLE,continuation_candidate,10,cross,0.382,4h,1,0.01344,0.020076,100,0.003214,0.0,0.0,0,0.0,6,1.297488,12.964158,3141.294,2.073463
10,LOW SAMPLE,continuation_candidate,10,cross,0.5,4h,1,0.01344,0.020076,100,0.003214,0.0,0.0,0,0.0,50,1.297488,12.964158,2541.5,1.515596
11,LOW SAMPLE,continuation_candidate,10,cross,0.618,4h,1,0.01344,0.020076,98,0.003214,0.0,0.0,12,0.1,50,1.297488,12.964158,1941.706,0.957728
1,LOW SAMPLE,continuation_candidate,20,touch,0.618,4h,1,0.143426,0.001746,21,-0.124132,0.0,1.0,3,0.043478,50,8.106474,2.483511,952.706,0.942384
2,LOW SAMPLE,continuation_candidate,20,touch,0.5,4h,1,0.138826,0.001579,21,-0.126943,0.0,0.0,1,0.047619,50,6.665397,2.72093,1158.5,0.85133
3,LOW SAMPLE,continuation_candidate,20,above,0.382,4h,1,0.128694,0.000799,20,-0.116529,0.0,0.0,1,0.05,50,7.237727,2.426081,1409.294,0.5517
