auto_candidate,relation,fib_level,timeframe,horizon,n_events,mean_forward_return,mean_mfe,mean_mae,rate_close_on_approach_side,rate_crossed_back,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm,mean_post_bars_on_break_side,mean_post_retest_count,mean_post_remained_near_level_rate
continuation_candidate,above,0.382,4h,10,1,-0.086124,0.087236,0.000799,0.0,0.0,50,7.237727,2.426081,1409.294,0.5517,20,1,0.05
continuation_candidate,above,0.382,4h,20,1,-0.116529,0.128694,0.000799,0.0,0.0,50,7.237727,2.426081,1409.294,0.5517,20,1,0.05
continuation_candidate,above,0.382,4h,5,1,-0.061552,0.06747,0.000799,0.0,0.0,50,7.237727,2.426081,1409.294,0.5517,20,1,0.05
continuation_candidate,above,0.382,4h,50,1,-0.116529,0.128694,0.000799,0.0,0.0,50,7.237727,2.426081,1409.294,0.5517,20,1,0.05
continuation_candidate,cross,0.236,4h,10,1,-0.056523,0.089233,0.012508,0.0,0.0,50,8.264491,2.013087,1805.588,1.635374,18,0,0.0
continuation_candidate,cross,0.236,4h,20,1,-0.079756,0.092427,0.012508,0.0,0.0,50,8.264491,2.013087,1805.588,1.635374,18,0,0.0
continuation_candidate,cross,0.236,4h,5,1,-0.004635,0.028655,0.012508,0.0,0.0,50,8.264491,2.013087,1805.588,1.635374,18,0,0.0
continuation_candidate,cross,0.236,4h,50,1,-0.079756,0.092427,0.012508,0.0,0.0,50,8.264491,2.013087,1805.588,1.635374,18,0,0.0
continuation_candidate,cross,0.382,4h,10,1,0.003214,0.01344,0.020076,0.0,0.0,6,1.297488,12.964158,3141.294,2.073463,100,0,0.0
continuation_candidate,cross,0.382,4h,20,1,0.012118,0.022719,0.020076,0.0,0.0,6,1.297488,12.964158,3141.294,2.073463,100,0,0.0
continuation_candidate,cross,0.382,4h,5,1,-0.008097,0.01344,0.016793,0.0,0.0,6,1.297488,12.964158,3141.294,2.073463,100,0,0.0
continuation_candidate,cross,0.382,4h,50,1,0.039456,0.058071,0.020076,0.0,0.0,6,1.297488,12.964158,3141.294,2.073463,100,0,0.0
continuation_candidate,cross,0.5,4h,10,1,0.003214,0.01344,0.020076,0.0,0.0,50,1.297488,12.964158,2541.5,1.515596,100,0,0.0
continuation_candidate,cross,0.5,4h,20,1,0.012118,0.022719,0.020076,0.0,0.0,50,1.297488,12.964158,2541.5,1.515596,100,0,0.0
continuation_candidate,cross,0.5,4h,5,1,-0.008097,0.01344,0.016793,0.0,0.0,50,1.297488,12.964158,2541.5,1.515596,100,0,0.0
continuation_candidate,cross,0.5,4h,50,1,0.039456,0.058071,0.020076,0.0,0.0,50,1.297488,12.964158,2541.5,1.515596,100,0,0.0
continuation_candidate,cross,0.618,4h,10,1,0.003214,0.01344,0.020076,0.0,0.0,50,1.297488,12.964158,1941.706,0.957728,98,12,0.1
continuation_candidate,cross,0.618,4h,20,1,0.012118,0.022719,0.020076,0.0,0.0,50,1.297488,12.964158,1941.706,0.957728,98,12,0.1
continuation_candidate,cross,0.618,4h,5,1,-0.008097,0.01344,0.016793,0.0,0.0,50,1.297488,12.964158,1941.706,0.957728,98,12,0.1
continuation_candidate,cross,0.618,4h,50,1,0.039456,0.058071,0.020076,0.0,1.0,50,1.297488,12.964158,1941.706,0.957728,98,12,0.1
continuation_candidate,cross,0.786,4h,10,4,0.000928,0.04345,0.012183,0.25,0.5,19.5,4.943909,4.551839,1132.5,0.371007,55.5,4.25,0.030417
continuation_candidate,cross,0.786,4h,20,4,-0.009938,0.05879,0.024285,0.5,0.5,19.5,4.943909,4.551839,1132.5,0.371007,55.5,4.25,0.030417
continuation_candidate,cross,0.786,4h,5,4,-0.000149,0.024479,0.006228,0.0,0.25,19.5,4.943909,4.551839,1132.5,0.371007,55.5,4.25,0.030417
continuation_candidate,cross,0.786,4h,50,4,0.013112,0.083165,0.032238,0.25,0.5,19.5,4.943909,4.551839,1132.5,0.371007,55.5,4.25,0.030417
continuation_candidate,cross,1,4h,10,1,0.01192,0.037177,0.004269,0.0,0.0,10,5.370614,4.211365,1115.0,0.58844,100,0,0.0
continuation_candidate,cross,1,4h,20,1,0.017566,0.037177,0.004269,0.0,0.0,10,5.370614,4.211365,1115.0,0.58844,100,0,0.0
continuation_candidate,cross,1,4h,5,1,0.027208,0.037177,0.004269,0.0,0.0,10,5.370614,4.211365,1115.0,0.58844,100,0,0.0
continuation_candidate,cross,1,4h,50,1,0.05732,0.06823,0.004269,0.0,0.0,10,5.370614,4.211365,1115.0,0.58844,100,0,0.0
continuation_candidate,touch,0.236,4h,10,1,0.035754,0.061743,0.013133,0.0,1.0,2,3.304099,6.749632,504.588,0.363242,98,2,0.01
continuation_candidate,touch,0.236,4h,20,1,0.055811,0.067981,0.013133,0.0,1.0,2,3.304099,6.749632,504.588,0.363242,98,2,0.01
continuation_candidate,touch,0.236,4h,5,1,0.038786,0.060956,0.013133,0.0,1.0,2,3.304099,6.749632,504.588,0.363242,98,2,0.01
continuation_candidate,touch,0.236,4h,50,1,0.076246,0.108502,0.013133,0.0,1.0,2,3.304099,6.749632,504.588,0.363242,98,2,0.01
continuation_candidate,touch,0.5,4h,10,1,-0.078356,0.081598,0.001579,0.0,0.0,50,6.665397,2.72093,1158.5,0.85133,21,1,0.047619
continuation_candidate,touch,0.5,4h,20,1,-0.126943,0.138826,0.001579,0.0,0.0,50,6.665397,2.72093,1158.5,0.85133,21,1,0.047619
continuation_candidate,touch,0.5,4h,5,1,-0.059863,0.0677,0.001579,0.0,0.0,50,6.665397,2.72093,1158.5,0.85133,21,1,0.047619
continuation_candidate,touch,0.5,4h,50,1,-0.126802,0.138826,0.001579,0.0,0.0,50,6.665397,2.72093,1158.5,0.85133,21,1,0.047619
continuation_candidate,touch,0.618,4h,10,1,-0.063861,0.086452,0.001746,0.0,1.0,50,8.106474,2.483511,952.706,0.942384,21,3,0.043478
continuation_candidate,touch,0.618,4h,20,1,-0.124132,0.143426,0.001746,0.0,1.0,50,8.106474,2.483511,952.706,0.942384,21,3,0.043478
continuation_candidate,touch,0.618,4h,5,1,-0.059502,0.062548,0.001746,0.0,1.0,50,8.106474,2.483511,952.706,0.942384,21,3,0.043478
continuation_candidate,touch,0.618,4h,50,1,-0.134512,0.14643,0.001746,0.0,1.0,50,8.106474,2.483511,952.706,0.942384,21,3,0.043478
continuation_candidate,touch,1,4h,10,2,-0.047349,0.055287,0.00997,0.5,0.5,50,4.739493,3.885417,1004.0,0.194225,57.5,4.5,0.03
continuation_candidate,touch,1,4h,20,2,-0.048293,0.096049,0.015678,0.0,0.5,50,4.739493,3.885417,1004.0,0.194225,57.5,4.5,0.03
continuation_candidate,touch,1,4h,5,2,-0.009705,0.02611,0.002598,0.0,0.5,50,4.739493,3.885417,1004.0,0.194225,57.5,4.5,0.03
continuation_candidate,touch,1,4h,50,2,-0.052227,0.121188,0.015678,0.0,0.5,50,4.739493,3.885417,1004.0,0.194225,57.5,4.5,0.03
failure_candidate,cross,0.786,4h,10,1,0.003214,0.020076,0.01344,0.0,1.0,50,1.297488,12.964158,2703.238,0.163476,81,17,0.09
failure_candidate,cross,0.786,4h,20,1,0.012118,0.020076,0.022719,0.0,1.0,50,1.297488,12.964158,2703.238,0.163476,81,17,0.09
failure_candidate,cross,0.786,4h,5,1,-0.008097,0.016793,0.01344,1.0,0.0,50,1.297488,12.964158,2703.238,0.163476,81,17,0.09
failure_candidate,cross,0.786,4h,50,1,0.039456,0.020076,0.058071,0.0,1.0,50,1.297488,12.964158,2703.238,0.163476,81,17,0.09
reaction_candidate,touch,0.618,4h,10,2,0.027339,0.041701,0.041701,1.0,0.5,16,4.577698,4.397998,1316.206,0.209658,2,8.5,0.07
reaction_candidate,touch,0.618,4h,20,2,0.040222,0.054274,0.054274,1.0,0.5,16,4.577698,4.397998,1316.206,0.209658,2,8.5,0.07
reaction_candidate,touch,0.618,4h,5,2,-0.000862,0.010076,0.010076,1.0,0.5,16,4.577698,4.397998,1316.206,0.209658,2,8.5,0.07
reaction_candidate,touch,0.618,4h,50,2,0.062213,0.086129,0.086129,1.0,1.0,16,4.577698,4.397998,1316.206,0.209658,2,8.5,0.07
reaction_candidate,touch,1,4h,10,3,0.005627,0.01527,0.01527,0.6667,0.3333,50,4.055803,4.945722,1124.0,0.955554,45.666667,5.333333,0.04127
reaction_candidate,touch,1,4h,20,3,-0.014392,0.027924,0.027924,0.6667,0.6667,50,4.055803,4.945722,1124.0,0.955554,45.666667,5.333333,0.04127
reaction_candidate,touch,1,4h,5,3,0.005524,0.013974,0.013974,0.6667,0.3333,50,4.055803,4.945722,1124.0,0.955554,45.666667,5.333333,0.04127
reaction_candidate,touch,1,4h,50,3,-0.081444,0.143913,0.143913,0.0,1.0,50,4.055803,4.945722,1124.0,0.955554,45.666667,5.333333,0.04127
rejection_candidate,touch,1,4h,10,2,0.002905,0.015938,0.019663,1.0,0.0,50,2.640796,8.731616,2955.0,1.12162,75,10.5,0.06
rejection_candidate,touch,1,4h,20,2,0.018454,0.015938,0.029073,0.5,1.0,50,2.640796,8.731616,2955.0,1.12162,75,10.5,0.06
rejection_candidate,touch,1,4h,5,2,-0.005171,0.014296,0.011322,1.0,0.0,50,2.640796,8.731616,2955.0,1.12162,75,10.5,0.06
rejection_candidate,touch,1,4h,50,2,0.046855,0.015938,0.062539,0.0,1.0,50,2.640796,8.731616,2955.0,1.12162,75,10.5,0.06
