rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
13,ok,continuation_candidate,10,cross,0.5,4h,19,0.047715,0.012196,33.157895,0.012466,0.2105,0.3158,7.473684,0.074737,15.578947,1.764277,17.979912,1149.991998,0.476638
14,ok,continuation_candidate,10,cross,1,4h,32,0.044033,0.017968,35.59375,0.000506,0.25,0.5312,6.0625,0.06625,17.75,2.110711,6.549542,1297.4375,0.559847
15,ok,continuation_candidate,10,touch,0.236,4h,9,0.04181,0.013859,31.333333,0.002286,0.2222,0.6667,9.555556,0.117778,13.555556,2.605823,6.699338,1323.604444,0.23533
16,ok,continuation_candidate,10,cross,0.382,4h,22,0.041354,0.020731,36.363636,0.013631,0.3636,0.5,7.454545,0.1,15.409091,1.349383,26.501437,1800.312,0.609785
17,LOW SAMPLE,continuation_candidate,10,below,0.382,4h,1,0.039425,0.005351,41,0.029211,0.0,1.0,15,0.2,14,2.866424,3.391997,1461.924,0.586829
18,ok,continuation_candidate,10,touch,0.382,4h,11,0.036291,0.015972,30.090909,-0.003558,0.2727,0.9091,13.727273,0.167273,16.181818,3.003653,7.193112,1086.123281,0.291289
19,LOW SAMPLE,continuation_candidate,10,below,0.5,4h,2,0.035403,0.011379,44.5,0.028046,0.0,0.0,7,0.09,12,1.907706,8.769894,2342.0,0.236272
20,LOW SAMPLE,continuation_candidate,10,above,0.5,4h,1,0.02744,0.003367,35,-0.015336,0.0,1.0,22,0.28,5,3.005671,3.801144,740.0,0.492345
21,LOW SAMPLE,continuation_candidate,10,below,1,4h,1,0.023737,0.001797,45,0.015037,0.0,1.0,6,0.1,20,0.929871,11.193846,1070.0,0.436324
1,LOW SAMPLE,continuation_candidate,20,above,0.786,4h,2,0.119873,0.007182,16.5,-0.024167,0.5,1.0,11,0.1,13.5,2.699733,7.066152,1894.336,1.249127
2,LOW SAMPLE,continuation_candidate,20,above,0.236,4h,1,0.097176,0.01287,27,0.000267,1.0,1.0,9,0.04,16,0.615874,15.065116,820.024,0.382915
