cluster_id,epsilon_log,representative_price,min_price,max_price,price_span_log,time_window_start,time_window_end,timeframe_count,level_count,timeframes,ratios,member_fib_ids
c046,0.005,13039.22,13017.0,13061.48,0.003412,2018-01-15T00:00:00+00:00,2018-01-23T08:00:00+00:00,2,4,"1d,4h","0.0,0.786,1.0",fib_BTC-USD_1d_20180115T000000|fib_BTC-USD_4h_20180115T120000|fib_BTC-USD_4h_20180117T120000|fib_BTC-USD_4h_20180120T160000
c047,0.005,12426.85,12400.0,12451.63,0.004155,2017-12-14T00:00:00+00:00,2018-12-06T00:00:00+00:00,2,4,"1w,4h","0.382,0.618,0.786,1.0",fib_BTC-USD_1w_20171214T000000|fib_BTC-USD_4h_20171222T000000|fib_BTC-USD_4h_20171231T080000|fib_BTC-USD_4h_20180120T200000
c048,0.005,24839.71,24781.59,24891.96,0.004444,2023-01-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2,4,"1M,4h","0.0,0.382,0.786",fib_BTC-USD_1M_20230101T000000|fib_BTC-USD_4h_20230215T040000|fib_BTC-USD_4h_20230216T160000|fib_BTC-USD_4h_20230314T120000
c049,0.005,11221.56,11188.0,11239.0,0.004548,2018-02-01T00:00:00+00:00,2018-03-29T00:00:00+00:00,2,4,"1w,4h","0.0,0.5,1.0",fib_BTC-USD_1w_20180201T000000|fib_BTC-USD_1w_20180215T000000|fib_BTC-USD_4h_20180220T200000|fib_BTC-USD_4h_20180221T080000
c050,0.005,54688.23,54573.19,54822.69,0.004562,2024-08-04T12:00:00+00:00,2024-08-23T00:00:00+00:00,2,4,"1d,4h","0.382,0.5,0.618,1.0",fib_BTC-USD_1d_20240805T000000|fib_BTC-USD_4h_20240804T120000|fib_BTC-USD_4h_20240805T120000|fib_BTC-USD_4h_20240807T200000
c051,0.005,95967.61,95728.72,96222.84,0.005148,2025-04-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,2,4,"1M,4h","0.382,0.5,1.0",fib_BTC-USD_1M_20250401T000000|fib_BTC-USD_4h_20250506T120000|fib_BTC-USD_4h_20250507T160000
c052,0.005,32829.67,32752.49,32922.27,0.005171,2021-01-13T04:00:00+00:00,2021-01-22T00:00:00+00:00,2,4,"1d,4h","0.382,0.618,1.0",fib_BTC-USD_1d_20210114T000000|fib_BTC-USD_4h_20210113T040000|fib_BTC-USD_4h_20210114T200000|fib_BTC-USD_4h_20210121T000000
c053,0.005,34003.06,33868.0,34080.9,0.006266,2021-01-14T00:00:00+00:00,2021-01-22T00:00:00+00:00,2,4,"1d,4h","0.0,0.5,0.786",fib_BTC-USD_1d_20210114T000000|fib_BTC-USD_4h_20210114T160000|fib_BTC-USD_4h_20210114T200000|fib_BTC-USD_4h_20210121T000000
c054,0.005,53814.48,53671.45,54010.0,0.006288,2021-03-24T12:00:00+00:00,2021-04-02T00:00:00+00:00,2,4,"1d,4h","0.5,0.618,1.0",fib_BTC-USD_1d_20210325T000000|fib_BTC-USD_4h_20210324T120000|fib_BTC-USD_4h_20210325T120000|fib_BTC-USD_4h_20210327T120000
c055,0.005,35413.27,35317.87,35544.36,0.006392,2021-01-13T04:00:00+00:00,2021-01-22T00:00:00+00:00,2,4,"1d,4h","0.5,0.618",fib_BTC-USD_1d_20210114T000000|fib_BTC-USD_4h_20210113T040000|fib_BTC-USD_4h_20210114T200000|fib_BTC-USD_4h_20210119T160000
c056,0.005,12633.84,12584.73,12675.0,0.007147,2017-12-22T00:00:00+00:00,2017-12-27T00:00:00+00:00,2,4,"1d,4h","0.5,0.618,1.0",fib_BTC-USD_1d_20171222T000000|fib_BTC-USD_4h_20171222T120000|fib_BTC-USD_4h_20171224T160000|fib_BTC-USD_4h_20171225T040000
c057,0.005,11574.34,11508.04,11621.0,0.009768,2018-01-20T20:00:00+00:00,2018-01-23T00:00:00+00:00,2,4,"1d,4h","0.0,0.5,0.618,0.786",fib_BTC-USD_1d_20180121T000000|fib_BTC-USD_4h_20180120T200000|fib_BTC-USD_4h_20180121T120000|fib_BTC-USD_4h_20180122T080000
c058,0.005,735.0,735.0,735.0,0.0,2017-01-05T00:00:00+00:00,2017-03-04T00:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20170105T000000|fib_BTC-USD_1d_20170112T000000|fib_BTC-USD_4h_20170111T080000
c059,0.005,1826.2,1826.2,1826.2,0.0,2017-07-15T16:00:00+00:00,2017-09-02T00:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20170716T000000|fib_BTC-USD_4h_20170715T160000|fib_BTC-USD_4h_20170716T040000
c060,0.005,4970.0,4970.0,4970.0,0.0,2017-07-16T00:00:00+00:00,2017-09-15T00:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20170716T000000|fib_BTC-USD_1d_20170902T000000|fib_BTC-USD_4h_20170902T000000
c061,0.005,2980.4,2980.4,2980.4,0.0,2017-09-02T00:00:00+00:00,2017-09-19T00:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20170902T000000|fib_BTC-USD_1d_20170915T000000|fib_BTC-USD_4h_20170912T080000
c062,0.005,19891.0,19891.0,19891.0,0.0,2017-11-12T00:00:00+00:00,2017-12-22T12:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20171112T000000|fib_BTC-USD_1d_20171217T000000|fib_BTC-USD_4h_20171217T120000
c063,0.005,17171.0,17171.0,17171.0,0.0,2017-12-05T00:00:00+00:00,2017-12-08T08:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20171205T000000|fib_BTC-USD_4h_20171205T200000|fib_BTC-USD_4h_20171208T000000
c064,0.005,9231.1,9231.1,9231.1,0.0,2018-01-15T00:00:00+00:00,2018-01-20T16:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20180115T000000|fib_BTC-USD_4h_20180115T120000|fib_BTC-USD_4h_20180117T120000
