rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
1,LOW SAMPLE,continuation_candidate,5,below,1,4h,2,0.084925,0.031556,38,0.051813,0.0,1.0,13,0.1,20,3.287789,3.249073,3.2705,0.31946
2,ok,continuation_candidate,5,touch,0.5,4h,14,0.076862,0.006426,35,0.009164,0.0,0.5714,6.214286,0.09381,16.5,2.712691,4.745913,6.041,0.384624
3,LOW SAMPLE,continuation_candidate,5,below,0.618,4h,3,0.076034,0.006931,30.666667,0.044496,0.0,0.6667,12.666667,0.166667,13.333333,2.100114,5.840109,3.967969,0.418541
4,LOW SAMPLE,continuation_candidate,5,below,0.5,4h,2,0.071343,0.002452,30.5,0.0438,0.0,0.0,11,0.12,20,1.689628,4.689275,3.974,0.637127
5,ok,continuation_candidate,5,touch,0.786,4h,14,0.070391,0.008549,34.285714,-0.001034,0.0,0.5,10.357143,0.114286,14.785714,2.973592,3.742143,6.721399,0.468442
6,ok,continuation_candidate,5,touch,0.236,4h,9,0.068883,0.013628,36.777778,0.019628,0.0,0.7778,8.222222,0.093333,14.444444,3.33241,3.833157,3.953982,0.496977
7,LOW SAMPLE,continuation_candidate,5,above,1,4h,1,0.066517,0.005876,32,-0.047872,0.0,1.0,17,0.34,12,0.814381,9.108053,3.095,0.618049
8,ok,continuation_candidate,5,cross,1,4h,19,0.05949,0.018512,37.789474,0.010967,0.0,0.2105,7.210526,0.078947,14.947368,2.021021,23.190577,6.681842,0.461677
9,ok,continuation_candidate,5,touch,1,4h,10,0.059346,0.015083,26.8,-0.015144,0.0,0.6,10.1,0.122,16.3,3.283298,15.001005,4.2688,0.295997
10,ok,continuation_candidate,5,cross,0.786,4h,15,0.05888,0.02016,39.466667,0.00895,0.0,0.3333,8.266667,0.105333,15.933333,2.403445,14.540867,7.762655,0.420244
11,ok,continuation_candidate,5,touch,0.618,4h,27,0.057443,0.014044,32.481481,-0.008405,0.0,0.4815,7.333333,0.094074,13.37037,1.670906,9.294463,4.491147,0.261348
12,ok,continuation_candidate,5,below,0.382,4h,6,0.057416,0.024011,38.833333,0.044146,0.0,0.5,6.833333,0.103333,11.666667,0.975422,21.246491,3.373836,0.390063
13,LOW SAMPLE,continuation_candidate,5,above,0.382,4h,4,0.055558,0.018035,19.75,-0.025047,0.0,1.0,8.75,0.11,11.75,2.574002,4.300563,4.694412,0.409544
14,LOW SAMPLE,continuation_candidate,5,above,0.786,4h,4,0.055269,0.014807,38,-0.040972,0.0,0.5,12,0.14,15.25,2.474854,20.08121,5.019534,0.278979
15,LOW SAMPLE,continuation_candidate,5,above,0.236,4h,1,0.055123,0.004157,49,-0.028955,0.0,1.0,3,0.04,20,0.139297,68.282051,6.44112,0.032346
16,ok,continuation_candidate,5,touch,0.382,4h,13,0.054796,0.012844,34.923077,0.014111,0.0,0.8462,7.846154,0.093846,18.230769,2.343383,10.802267,5.165425,0.34738
17,ok,continuation_candidate,5,cross,0.382,4h,30,0.054059,0.019527,36.5,0.004405,0.0,0.4333,7.666667,0.090667,14.833333,2.489843,12.466043,5.013573,0.386109
